,utente,commento,hotel,dataIns
1247,drfruscione,"Susanna, la casa, la zona: non li cambierei per nulla al mondo. E' la quarta o quinta volta che torno e ogni volta mi sento a casa. La pulizia la colazione ma soprattutto la gentilezza di Susanna e dei suoi collaboratori sono incomparabili!",B&B Della Rocca,2019-07-05,5 stelle
1248,Alan M,"Abbiamo soggiornato in questo bellissimo b&b in una posizione comoda per visitare tutta la città.Susanna ed Andrea sono stati molto ospitali. Hanno avuto l'attenzione subito di omaggiare i nostri figli all'arrivo. Buonissima la colazione e la gentilezza nell'orientarci per la città. Tanti piccoli particolari che hanno reso 2gg ricchi e particolari. Grazie ancora e alla prossima visita!! Alan,Silvia,Lisa ,Rocco rsm",B&B Della Rocca,2019-07-05,5 stelle
1249,Roberta V,"Ho trascorso tre giorni a Torino e quasi per caso sono capitata in questo b&b che ha giocato un ruolo fondamentale nella buona riuscita della vacanza. In primo luogo per la  posizione strategica a due passi da Piazza Vittorio Veneto e molto vicina alle piu' grandi attrazioni della citta'. Poi per la bellezza del posto, una casa deliziosa, curata nei minimi dettagli, camere ampie e ben arredate, un soggiorno e un terrazzo su cui passare un po' di tempo in totale relax in pieno centro di Torino. La colazione al mattino molto abbondante e servita con cura. Infine quello che mi ha fatto davvero ""sentire a casa"" è stato il personale, attento, disponibile, pronto a venire incontro alle esigenze. Davvero una bella scoperta, un posto dove tornare per visitare Torino!",B&B Della Rocca,2019-07-05,5 stelle
1250,fbellf,"Abbiamo soggiornato due notti in questo B&B in un caldo we di giugno. La posizione è meravigliosa, le camere molto belle, pulitissime ed accoglienti ma ciò che più ci ha piacevolmente colpito sono stati la cortesia e la simpatia di Susanna ed Andrea. Davvero un posto da consigliare! Francesca",B&B Della Rocca,2019-07-05,5 stelle
1251,annasi,"Ho soggiornato due notti in questo favoloso B&B nel we del 2 giugno. La camera era confortevole, luminosa arredata con estro. La Signora Susanna ci ha accolto con la sua simpatia e ci ha messo subito a nostro agio, Andrea ci ha coccolato tutte le mattine con la sua ottima colazione e non solo... ha una eccellente cultura di arte molto apprezzata da noi. Il tempo sembra che si fermi entrando subito nel soggiorno per poi proseguire nella splendida terrazza sempre disponibile per un po' di relax. Tutto è molto curato e pulito. Il B&B ha solo due camere e questo permette di usufruire di molta tranquillità. Un posto da tornare, saluto entrambi Anna",B&B Della Rocca,2019-07-05,5 stelle
1252,eleonoratesta10,"Bella ed ampia camera  matrimoniale con bagno con affaccio su Via della Rocca, dotata di tutti i confort.  Ottima l'accoglienza ed apprezzabile la cordialità e la disponibilità  di Andrea. Colazione varia ed abbondante servita nella cucina comune.",B&B Della Rocca,2019-07-05,5 stelle
1253,Paola L,"Confortevole, accogliente e curato nei più piccoli dettagli, così si presenta il B&B Della Rocca, una vera perla nel cuore di Torino! La mia camera in stile etnico era ampia e il bagno un vero bijou! Susanna ed Andrea,  cortesi e disponibili, hanno reso ancora più piacevole il mio soggiorno in questa città dall'atmosfera europea. E' bello trovarsi in un posto e poterlo chiamare casa, questo è quello che succede al B&b della Rocca: ci di sente a casa . Lo consiglio a tutti ! Paola",B&B Della Rocca,2019-07-05,5 stelle
1254,Uriele R,"B&B nei pressi della piazza principale di Torino vicino al centro storico. Trovandomi per un soggiorno di lavoro, sono stato diversi giorni e mi sono trovato benissimo. Al mattino Andrea prepara la colazione con latte, the, caffe, cornetti, torte, crostate,  yogurt ecc. La camera l'ho trovata davvero confortevole e molto silenziosa, anche nei weekend che c'è un bel via vai di persone in strada, essendo questa una zona molto viva di sera. Bagno ben fornito di tutto e molto pulito. La tv in camera non c'è ma è possibile richiederla. Wifi gratuito e molto veloce.  Pulizia, professionalità e cortesia contraddistinguono questo b&b a tal punto che sembra di essere a casa. Tornerò per svago e turismo, e saprò gia dove alloggiare.",B&B Della Rocca,2019-07-05,5 stelle
1255,Rita V,"Sono stata in questo b&b 3 notti e mi sono trovata molto bene. È una casa grande, con camera da letto ampia e con bagno privato, salotto e cucina in comune. Unica pecca no TV in camera.È arredato in stile etnico ed è pulito e curato. Ha anche un bel terrazzino ed è a due passi da piazza Vittorio, quindi strategico per visitare Torino(al centro ci si arriva a piedi in 10 minuti, in stazione in 20, in piazza dove passano autobus, tram e Taxy in 3).Ottima la colazione e l'accoglienza della proprietaria e soprattutto di Andrea che è lì a disposizione per tutto. Ci si sente a casa!",B&B Della Rocca,2019-07-05,4 stelle
1256,Mario G,"La guida Michelin certi luoghi che si distinguono per delle caratteristiche peculiari in termini di tranquillità, di arredi di gusto e di location particolare, li contrassegna in rosso, che significa ""luogo ameno"".Ecco, se un giudizio viene da dare sul Della Rocca è proprio questo: un luogo ameno, e molto piacevole da segnarsi come punto di riferimento sicuro per quando si passa da Torino.Se a ciò si aggiungono l'ospitalità e la simpatia della Sig.ra Susanna, che lo gestisce mescolando professionalità, savoir faire, ed una posizione privilegiata nel cuore della Torino più bella, c'è davvero tutto.",B&B Della Rocca,2019-07-05,5 stelle
1257,Sara L,"Rientrando dalla Valle d'Aosta ci siamo fermati a Torino.Abbiamo trovato questo b&b in pieno centro. Comodissimo da raggiungere in auto.A piedi si gira benissimo per il centro storico della città. La proprietaria e il ragazzo che ci ha accolti sono stati deliziosi.Pulito il posto, ottima la colazione è il servizio.",B&B Della Rocca,2019-07-05,5 stelle
1258,letizia b,Questa è l'impressione che ho avuto qualche istante dopo essere entrata dalla porta...è' stato come entrare in casa della zia preferita che ti accoglie con un buon the e una sorpresina sul comodino! L'accoglienza e la pulizia sono l'eccellenza di questa struttura...praticamente in centro a pochi passi dalle piazze e dai musei più importanti. Flavio e Susanna persone di cuore e attente...peccato esserci rimasta solo una notte 😌! Grazie di cuore 😘,B&B Della Rocca,2019-07-05,4 stelle
1259,Carolina V,"Ho avuto modo di visitare Torino solo per due brevi giornate in occasione di un congresso, ma la mia breve permanenza è stata davvero piacevole grazie alla simpatia e alla gentilezza di Andrea e della signora Susanna (che ringrazio ancora per il bellissimo pensierino che mi ha fatto trovare all'arrivo). L 'atmosfera etnica, calda e accogliente che si respira in tutte le stanze mi ha fatto sentire come a casa e l'abbondante colazione accompagnata dalle chiacchiere con Andrea e un altra ospite mi ha fatto iniziare la giornata con un sorriso. Consiglio questa sistemazione in un punto davvero strategico della città per muoversi anche comodamente a piedi per visitare le principali attrazioni culturali e musei del centro. Grazie ancora per la piacevole permanenza, tornerò sicuramente!!",B&B Della Rocca,2019-07-05,5 stelle
1260,CHT570,"Ho soggiornato una notte in questo delizioso Bed and Breakfast, e mi sono trovata splendidamente. L'accoglienza è stata cordiale, e la signora più che disponibile a soddisfare ogni mia richiesta; la ragazza che si occupa dell'appartamento è gentile, precisa, educatissima: un team ottimale! La posizione è ideale per visitare il quartiere di San Salvario ed il centro città, a pochi minuti dalla stazione di Porta Nuova. La camera ""Vogliamo anche le rose"" è arredata con gusto, e si ha l'uso della cucina e della colazione autogestita. Lo consiglio vivamente.…",B&B Il Pane e le Rose,2019-07-05,5 stelle
1261,Cinzia D,Ho soggiornato un paio di volte e mi sono trovata molto bene. Ottima posizione per chi utilizza il treno essendo a due minuti dalla stazione di Porta Nuova. Pulito e dotato di tutto. In zona ci sono molti ristoranti carni. Vicino al centro. Lo consiglio ,B&B Il Pane e le Rose,2019-07-05,5 stelle
1262,Fiammetta O,"Il B&B Il pane e le rose è stato perfetto....accogliente pulito e centralissimo a questa bellissima città!!Ci siamo sentiti ""come a casa nostra ""!Ringrazio vivamente Emanula per la sua gentilezza e disponibilità. ",B&B Il Pane e le Rose,2019-07-05,5 stelle
1263,pio958,"Dormito una notte, buona camera, ottima pulizia, posizione perfetta per visitare il centro ed i musei più importanti. La consiglio sicuramente per chi arriva col treno, 5 minuti a piedi uscendo dalla stazione di Torino porta nuova, uscire su via Nizza. ",B&B Il Pane e le Rose,2019-07-05,4 stelle
1264,Diego M,"In un palazzo d’epoca  al primo piano, suggestivo ambiente con carattere e tono. C’è tutto quanto serve(compresa abbondante colazione) per un soggiorno di transito e per raggiungere comodamente il centro città. Dista 5 minuti da Porta Nuova e ti accoglie con cordialità. Ottimo",B&B Il Pane e le Rose,2019-07-05,5 stelle
1265,Gaetano,"Ottima posizione, struttura accogliente e pulita, camere spaziose e confortevoli. Colazione ricca e cucina a completa disposizione degli ospiti. La Sig.ra Manuela gentile e disponibile , fornisce indicazioni e consigli turistici. Unica pecca il segnale debole del wifi . Si consiglia inoltre maggiore luminosità artificale nei locali della struttura. Assolutamente consigliato!!! Gaetano",B&B Il Pane e le Rose,2019-07-05,4 stelle
1266,Luigi,"Posizione ottima e personale gentile ed educato; camera spaziosa e abbastanza pulita, forse un pò vecchia, buona la colazione, anche se mancava il caffè, comodo il bagno. Il vero problema è il confort acustico nel sonno, massacrato dai lavori dei vicini che alle 7 hanno iniziato con il martello pneumatico, un dramma",B&B Il Pane e le Rose,2019-07-05,3 stelle
1267,Grazia G,"Sono stata davvero benissimo in questo alloggio! L'aria che si respira in casa è serena e riposante, tutto è lindo e curato fin nei minimi dettagli. Bello l'arredo, la biancheria, i mobili, ricca la colazione. Davvero un B&B di lusso! Sicuramente tornerò!",B&B Il Pane e le Rose,2019-07-05,5 stelle
1268,Lucia T,"B&B davvero delizioso, abbiamo pernottato due notti con degli amici. Curato nei particolari, pulito, buona colazione, la signora Manuela è disponibilissima per consigli e indicazioni. A due passi dalla stazione, il centro è raggiungibile a piedi in pochi minuti e il quartiere è pieno di locali. Parcheggio un po' complicato ma non impossibile da trovare. Assolutamente consigliato.",B&B Il Pane e le Rose,2019-07-05,5 stelle
1269,stefano m,"Sono stato una notte in questo B&B con la mia famiglia e devo dire che siamo rimasti molto soddisfatti!La camera è spaziosa e pulita, così come anche il bagno.C'è una sala da pranzo comune in cui si può fare una colazione fai-da-te insieme agli altri ospiti. La proprietaria è molto gentile e disponibile.Ottima la posizione che permette di raggiungere in pochi minuti il centro storico a piedi!Nelle vicinanze ci sono molti parcheggi a pagamento.Lo consiglio anche per l'ottimo rapporto qualità-prezzo!Unico neo sono i materassi dei letti che risultano troppo molli.",B&B Il Pane e le Rose,2019-07-05,4 stelle
1270,Claudio Z,Bellissima scoperta a Torino. Bello. Pulitissimo. Gran colazione.  Comodo per tutto. Vale veramente la pena. E poi una cosa su tutte... la cortesia di chi ti accoglie! Ci tornerò a breve e mi sento di consigliarlo.,B&B Il Pane e le Rose,2019-07-05,5 stelle
1271,Ettore S,"Bella scoperta. Le camere sono silenziose nonostante sia situato in una zona discretamente rumorosa. I letti sono molto comodi e i bagni puliti. Ogni stanza porta il nome di un film, io ho dormito in una camera sorvegliato amabilmente da Vittorio De Sica e Sophia Loren. Da ritornarci. Tutto ottimo.",B&B Il Pane e le Rose,2019-07-05,5 stelle
1272,160danyw,"Bellissimo b&b  la signora Emanuela molto gentile, la camera molto spaziosa il letto era comodissimo , il bagno grande e confortevole . La colazione è varia e abbondante. Mi sono trovato veramente bene, se mi capita di ritornare a Torino ci ritorno di sicuro 😊",B&B Il Pane e le Rose,2019-07-05,5 stelle
1273,Domenico S,"Il B&B è inserito in un palazzo signorile nella zona di via Nizza vicino la stazione porta nuova. La signora molto gentile e super disponibile. Camera spaziosa e pulita, colazione non standard ma è un fai da te con tutto ciò che è disponibile (biscotti, latte tè, caffè, succhi di frutta, pane e Nutella).Alla prossima :D",B&B Il Pane e le Rose,2019-07-05,4 stelle
1274,Angelica Maria Paola,"Sono tre giorni per piacere e mi serviva una struttura comoda alla stazione porta nuova.Alla struttura posso dare un 5 stelle, pulitissima e sembra di fare un tuffo retro' chic nella bella Italia anni 80. La proprietaria è molto molto ed ancora molto cordiale e disponibile.La colazione è abbondante ed  caffè con la moka italiana 😍La zona purtroppo di sera non è per niente bella, soprattutto se si è donne sole. Pieno di attività islamiche e spaccio a cielo aperto. Mentre passeggiavo coi cani mi sentivo chiamare da uomini nord africani. Purtroppo non c'è l'ombra di polizia e questo penalizza i proprietari di locali ed attività commerciali.",B&B Il Pane e le Rose,2019-07-05,4 stelle
1275,giuliacencini,"Situato in posizione molto centrale e comoda (circa 10 minuti a piedi dalla stazione dei treni),l'appartamento si trova in un palazzo molto bello e silenzioso,la camera molto semplice ,pulita e ampia .l'uso della cucina molto comodo e ""dispensa "" ben fornita .La padrona di casa molto gentile .tutto perfetto",B&B Il Pane e le Rose,2019-07-05,5 stelle
1276,Tina C,Abbiamo appena trascorso un week end .....ottima disponibilità e accoglienza. Vicino alla stazione di Porta Nuova comodo x raggiungere il centro.Siamo rimasti soddisfatti x la città e il B&B lo consigliamo !!!!!!,B&B Il Pane e le Rose,2019-07-05,5 stelle
1277,Martina,"Struttura situata a pochi passi dalla stazione Porta nuova. Si trova in un bel palazzo antico. Ad accoglierti c'è la proprietaria,una signora gentilissima e disponibile. Camera pulita, spaziosa,arredata nei minimi particolari. Nella mia camera c'era anche un balcone. A disposizione degli ospiti una cucina dove potersi preparare un caffè o una tisana ecc. Utilizzata per la colazione fai da te che viene poi fatta nella sala comune ed essendo fai da te puoi decidere tu l'ora. Una stanza con un unico tavolo dove la proprietaria apparecchia per tutti gli ospiti. Nulla da dire sulla struttura, l'unica cosa è la zona che di sera (soprattutto se si è soli)non è molto tranquilla.",B&B Il Pane e le Rose,2019-07-05,4 stelle
1278,AudreyJo,"Bellissimo arredamento, curato nei dettagli. Molto intimo e romantico. Ogni stanza ha un proprio tema. La proprietaria è molto gentile e disponibile, ma la donna delle pulizie è unica e simpaticissima. Ho soggiornato spesso qui, è molto vicino alla stazione. La colazione è buona e hai molta scelta.",B&B Il Pane e le Rose,2019-07-05,5 stelle
1279,Honda506,"Io e mia moglie siamo reduci da un bel fine settimana a Torino, città molto elegante ed interessante anche se, come tante città italiane, sta subendo il degrado dei tempi attuali. Abbiamo soggiornato 2 notti in questo b&b, in posizione comoda rispetto alla Stazione di Porta Nuova e al centro. Situato in un bel palazzo storico, la camera messa a nostra disposizione era molto ampia e confortevole; la proprietaria. sig.ra Emanuela, è stata molto disponibile e gentile. Per la colazione è presente un ampio spazio comune già apparecchiato con biscotti, cesto di frutta, fette biscottate e dal frigorifero, dove ci sono succhi-yoghurt ecc,  è possibile attingere liberamente. A disposizione latte e caffè da prepararsi in autonomia. Il giorno della partenza, nonostante dovessimo liberare la camera per le 11, abbiamo avuto la possibilità di lasciare i bagagli nell'appartamento fino a quando avevamo bisogno.",B&B Il Pane e le Rose,2019-07-05,4 stelle
1280,pier luca V,Salve Bella gente sono di passaggio con la mia compagnia in questo albergo favoloso dove per altro abbiamo concepito le nostre gemelline questo albergo per noii e il top servizi ok colazione a volonta ,Hotel President,2019-07-05,5 stelle
1281,Sonia S,"Un hotel accogliente, siamo stati accolti benissimo,senza attendere.Siamo stati accolti con professionalitá e cordialitá.Abbiamo dormito benissimo,camera pulitissima e ordinata. La mattina abbiamo fatto colazione,tutto buonissimo e ben organizzato.Siamo in 7 persone ad avere soggiornato in questo Hotel e siamo tutti soddisfatti.Ritornermo sicuramente.…",Hotel President,2019-07-05,5 stelle
1282,Bellitalia49,"Sono stato costretto ad andare in questo hotel perché tutto pieno a Torino per il salone del libro. Wi-Fi pessimo stanza molto basica, bagno veramente minimale , forse solo la colazione accettabile. Posto in zona periferica sicuramente non è il meglio a Torino",Hotel President,2019-07-05,2 stelle
1283,IgorDR,"Cercavo un hotel a metà strada tra la Venaria Reale e il centro città, che avesse inoltre comodo accesso ai trasporti pubblici. Da questo punto di vista l'hotel è perfetto, davanti all'ingresso c'è la fermata dell'11 che collega appunto il centro con la Venaria Reale. Purtroppo avevo una stanza sulla strada principale e non c'è un attimo di tregua alle macchine che passano o alle ambulanze a sirene spiegate.…",Hotel President,2019-07-05,3 stelle
1284,gabryn,"Pernottato una notte con la famiglia. Buon hotel un po' datato ma con parti rinnovate, bagno ampio e ben attrezzato con doccia nuova, phon e cosmetici di cortesia. Materassi dei letti ottimi, stanza piccola per tre persone ma ben insonorizzata. Colazione a buffet dalle ore 7 alle ore 10 molto abbondante, con a disposizione caffè, the, succhi, yogurt, marmellate, brioches, dolci, pasticcini, uova, focacce e salumi. L'hotel si trova in zona periferica ad alto tasso di immigrazione, ma con il bus 11 fermata Baldissera (di fronte all'hotel- passaggio alla fermata ogni 12 minuti e dopo le 21 ogni mezz'ora) si va in centro o in stazione Porta Nuova in un quarto d'ora. Personale dell'hotel gentile e molto disponibile. Buon rapporto qualità-prezzo. Ideale per breve visita a Torino.…",Hotel President,2019-07-05,4 stelle
1285,Gessica m,"Buon albergo. Camere comode, con bagni adeguati, rinnovato, pulito. Personale cortese , sufficiente la colazione. Buona la posizione per chi utilizza il trasporto pubblico, collocato un po' in periferia in un quartiere a forte presenza di immigrati. Lo consiglio, perché è ottimamente posizionato ,a pochissimi minuti di pullman dal centro.",Hotel President,2019-07-05,4 stelle
1286,Barbara C,"Ho trovato i servizi igienici poco curati, il copri water macchiato, la colazione non ha ampia scelta e non rispecchia le foto che vengono pubblicate sul sito di prenotazione che mostrano un buffet di prodotti freschi. La zona dell'hotel non mi è piaciuta, mi è parsa trasandata e frequentata da persone intente a fare qualcosa di illecito, in particolare il palazzo di fronte che non si presenta nei migliori dei modi, di sera ha perennemente persone appostate che freneticamente entrano ed escono da un portico ogni volta che si ferma qualcuno. Ho osservato tutto questo dalla finestra della mia stanza che ridà su questo palazzo. E' non ci vuole un genio per capire che si stratta di spaccio.Unica cosa positiva il personale, cortese, sempre sorridente e disponibile a darci informazioni utili. Molto gentile anche il gestore del garage che si trova nella stessa struttura.",Hotel President,2019-07-05,2 stelle
1287,BonnieClyde2007,"Economico hotel stile business, impersonale ma ottimo come base di lavoro e visita alla città con prezzi vantaggiosi. Strada di fianco molto trafficata, quartiere invaso da persone afro e arabe con molteplici attività delle stesse, ridottissime possibilità di cenare alla sera senza prendere nuovamente i mezzi o l'auto. Ovviamente alle cifre di pernottamento  dell'Hotel si deve fare conto a problematiche del genere. I mezzi pubblici sono comodi da prendere in fronte alla struttura e in 10 minuti si arriva in centro. Pulizia generale nella norma, qualche piccola pecca di pulizia qua e là ma sopportabile. Materasso non comodo ma stanza spaziosa e bagno nuovo. Manca aspiratore in bagno. Personale cortese e disponibile. Colazione abbondante anche se di qualità medio bassa.",Hotel President,2019-07-05,3 stelle
1288,Claudia C,"Hotel situato in una zona ben collegata soprattutto con gli autobus (c’è la fermata proprio di fronte l’hotel). Personale cortese e buoni i prezzi. La colazione molto ricca e abbondante, c’è veramente di tutto. Le stanze sono ampie e pulite. La struttura nel complesso mi sembra un po’ “antica”.",Hotel President,2019-07-05,3 stelle
1289,enzo402016,"hotel abbastanza economico, personale cordiale, pulito, unica pecca nella zona molti extracomunitari; mezzi urbani abbastanza vicini per raggiungere il centro, eventualmente consiglio il garage se si arriva in macchina.",Hotel President,2019-07-05,3 stelle
1290,Luisa S,"Abbiamo soggiornato per due notti in questo hotel. Molto pulito, stanza comoda e buona colazione. La zona non è delle migliori, ma resta comunque in una buona posizione per raggiungere il centro: poche fermate di autobus o 20-30min a piedi, ma di sera consiglio di raggiungerlo con i mezzi per una maggiore tranquillità. Trovo il prezzo in linea con quanto offerto.",Hotel President,2019-07-05,4 stelle
1291,aragon03,"Hotel con buono rapporto qualita prezzo.possibilita di parcheggio a pagamento comodo.facile con l auto raggiumgere il centro e l aereoporto, fermata autobus davanti all hotel.Camera spaziosea, luminosa, un po di pulizia in piu non sarebbe stato male, un po di polvere di troppo.bagno comodo ma doccia in vasca scomodissima.colazione nella norma, ma molto caotica xche hotel pieno x cui il primo giorno non jo potuto utilizzarne.nel complesso lo consiglio",Hotel President,2019-07-05,4 stelle
1292,FabioLottino,"Leggiamo le recensioni e arriviamo impauriti. Convinto di giungere nel Bronx di Torino ed in una bettola delle peggior specie. Ed invece...gentilezza assoluta sin dall’arrivo, discrezione massima. Colazione buonissima con addirittura la cioccolata calda, sia bianca che nera. Prezzi giusti.Zona a nostro avviso buona. Dobbiamo imparare a convivere con gli immigrati. Il problema forse siamo noi e non loro.Le stanze tenute bene nonostante siano un poco datate. Parcheggio gratuito (6posti) al piano inferiore più parcheggio a pagamento (10 euro). Unica cosa, oltre il centro commerciale (ormai in fase calante), per cenare bisogna fare una camminata verso il centro di una ventina di minuti. Insomma consigliato.",Hotel President,2019-07-05,4 stelle
1293,Maurin63,"In una buona posizione, non distante dal centro e servito da mezzi pubblici praticamente sotto l'hotel. Camere spaziose e confortevoli, con un buon piano di appoggio per usare il computer, tv con un schermo generoso ed un caldo in stanza che in Gennaio fa solo molto piacere, poi a me piace quando sono in stanza di stare in mutande e maglietta a lavorare con il computer o godermi un po di relax con la TV.A 10 minuti a piedi si può andare nel centro commerciale Parco Dora dove alla sera si trovano diverse possibilità di cenare.Unico piccolo neo, Al mattino già all'alba se hai la stanza che è rivolta verso l'entrata  dell'hotel c'è abbastanza rumore dei tram che si fermano e che ripartono.",Hotel President,2019-07-05,4 stelle
1294,gessica_zoe,"Hotel carino, pulito, ottima la colazione e personale molto gentile e simpatico. L’hotel si trova proprio davanti ad una fermata del pullman che vi porterà in breve tempo in centro. Buono il rapporto qualità e prezzo.",Hotel President,2019-07-05,5 stelle
1295,orazio_9,"Camera spaziosa, confortevole, ottimamente insonorizzata e riscaldata, dotata però di illuminazione insufficiente anche se c'è una grande finestra. Nel bagno, purtroppo, non viene rispettata la distanza reciproca tra gli apparecchi sanitari, infatti il vaso e il bidet sono praticamente molto vicini tanto da rendere difficile la fruizione di quest’ultimo. Il rubinetto del  lavabo non permette di lavare le mani facilmente perché la profondità del beccuccio è veramente minima. La colazione è abbondante, varia e continuamente rifornita. Il personale è gentile e disponibile. Internet gratuito funziona molto bene. Camera doppia per due giorni € 138,00 compreso tassa di soggiorno e colazione inclusa.",Hotel President,2019-07-05,3 stelle
1296,ApplesCinnamon🌻,"Camere standard, pulite. Dotazione buona di asciugamani e presenza anche della TV in camera. Presenti tante prese. Colazione molto abbondante, anche se non tutto buonissimo, ma il fatto che ci fossero davvero tante cose compensava decisamente, permettendo una vastissima scelta. Apprezzata tanto.Personale cortese.Nota dolente: prezzo eccessivo, considerando soprattutto la lontananza dal centro (40 minuti circa dal centro). In compenso esattamente davanti all'hotel è presente la fermata dell'autobus. Il quartiere in cui si trova l'hotel non è però esattamente il massimo.",Hotel President,2019-07-05,3 stelle
1297,LallaG8690,"Ho apprezzato molto la disponibilità e la professionalità del personale. Camera spaziosa e confortevole. Peccato per la posizione, girare nel quartiere di sera a piedi non mi faceva stare tranquilla. Dista circa 20 minuti a piedi dal centro oppure si può raggiungere il centro con i mezzi pubblici che però sono sempre colmi di gente. Colazione poco varia e di scarsa qualità. Se si desidera la comodità consiglio di cercare un hotel altrove.",Hotel President,2019-07-05,2 stelle
1298,Francesco S,"Questo hotel forse una 🌟 ma niente di più..1- siamo entrati c'erano due letti separati e invece si era chiesto una matrimoniale, 2- la TV nn c'è stato verso accenderla perché nn funzionava il telecomando 3 - guanciale moscio,vuoto dentro, sicché scomodo, 4 - materasso finito perché mi sono alzato con un mal di schiena incredibile  5 -  80 euro per una matrimoniale non ne vale. Solo la colazione si salva A mio parere lo sconsiglio ,  per 80 euro pretendo una bella stanza .",Hotel President,2019-07-05,1 stelle
1299,minerva84,"Non mi aspettavo di trovare un albergo di così buona qualità, persino migliore di un 4 stelle più centrale dove avevo soggiornato alcuni giorni prima! Personale gentilissimo, camere confortevoli, buona colazione, pulizia e buon set di cortesia in camera. Ottimo rapporto qualità-prezzo e zona non distante dal centro. Molto comodo da raggiungere dall'aeroporto di Caselle, grazie al collegamento ferroviario con la stazione Dora. Nei dintorni, possibilità di trovare numerosi supermercati e un bel centro commerciale, oltre ad un parco. Con una ventina di minuti a piedi, non volendo usare i mezzi pubblici, si è in centro. Lo consiglio per tutto, anche per il prezzo!Buon lavoro a tutto il personale!",Hotel President,2019-07-05,4 stelle
1300,Stefano V,"Fantastico il posto, fantastici i ragazzi Marta Margherita Chiara con i nostri bimbi molto carine e simpatiche e poi Antonio Michele e Samuele fantastici per la loro stravaganza e simpatia e superbrava carlotta con la sua determinazione e simpatia e continua così valorizza i tuoi ragazzi che ne hanno bisogno. Famiglia Versace…",New Camping Le Tamerici,2019-07-05,5 stelle
1301,Clara S,"Esattamente come ci aspettavamo? Nooooo...du più!!! Accoglienza ottima, casa mobile stupenda. Chi dice che le camere sono piccole deve ricordare che è un camping. Pulizia ottima e tutto perfettamente funzionante. Servizi ottimi dal Bazar al Mini market ed un ristorante che fa pizze buonissime. E per finire l'animazione, ci siamo affezionati subito, coinvolgenti e simpatici con TUTTI...ganno lasciato un bel segno nel nostro cuore. GRAZIE e complimemti a tutto il camping village. Fam. SANTAMBROGIO/CAPELLINI…",New Camping Le Tamerici,2019-07-05,5 stelle
1302,Guperman,"Soggiorno di una settimana, dal 15 al 22 in una casa mobile Deluxe, 2 adulti e due bambini. Tutto perfetto, molto organizzato, pulito e accogliente. Un ringraziamento speciale al team dell'animazione da parte dei miei figli Simone e Giulia per la pazienza, la simpatia e l'intrattenimento offerto durante tutto il periodo…",New Camping Le Tamerici,2019-07-05,5 stelle
1303,Floriana B,"Abbiamo trascorso una settimana in questo campeggio in una casa mobile...il camping è molto pulito e curato ed offre molti servizi.Il personale è molto gentile e disponibile!la differenza la fanno i ragazzi dell'animazione che ci hanno fatto stra divertire (coinvolgenti ma mai invadenti)..un grazie di cuore alla capo equipe carlotta per aver reso la vacanza della nostra piccola aurora indimenticabile,a samuele per averci fatto ballare,ad antonio per averci fatto ridere,alle dolcissime marta e margherita e al nuovo arrivato miky!!!…",New Camping Le Tamerici,2019-07-05,5 stelle
1304,Godereccioa1000,"Casa mobile accogliente e con tutto il necessario, tre passi di numero e ci sono il ristorante, il market, il bar, la piscina, i campi sportivi, insomma tutte le comodità per un vacanza vera e speciale soprattutto per chi ha figli. I bambini vanno in bici in giro per il tranquillo e sicuro campeggio, coccolati da un team animazione (ci tengo a precisarlo perché non so dove ringraziarli se non qui!) che sa davvero come accoglierli con serena tranquillità, un campeggio davvero organizzato, ben gestito e senza troppo caos. In più pineta con mare annesso ad una sbiciclettata e prezzi ragionevolissimi. È a Cecina mare, quindi c'è il mondo (parchi gioco con gonfiabili e non, acquapark, lungomare con tutti i negozi possibili, etc...) attorno. Da quest'anno diventerà una mia meta fissa coi figli. …",New Camping Le Tamerici,2019-07-05,5 stelle
1305,Alessandro77,"Abbiamo soggiornato una settimana in una casa mobile deluxe da 5 posti .....(noi eravamo in 3). Siamo stati accontentati da subito in quanto avevo chiesto di poter fare check-in alle 12 ed è stato fatto, la casetta molto bella comoda completa di tutto , forse si una una  piccolezza , la luce delle camere non è attivabile  dal letto e mancano comodini con presa elettrica per carica telefono......ma due camere ognuna col suo bagno è una gran comodità...... il porticato per pranzare fuori sempre all’ombra è fantastico..... animazione direi un po’ “giovane “ poco professionali a livello di cabaret per il resto bene con i bimbi ...... da migliorare il market in quanto era molto scarso soprattutto del genere ortofrutticolo buona la pizza della pizzeria .....  è situato vicino al mare con una piccola passeggiata attraverso la pineta che è veramente fantastica si può correre andare in bici o anche solo a passeggiare al fresco e ombra della pineta per km ......:.comunque CONSIGLIATO.......",New Camping Le Tamerici,2019-07-05,4 stelle
