443,Rifugio Sapienza,"Piazza Rifugio Sapienza SNC, 95030 Nicolosi, Sicilia Italia",,2019-07-05
444,Rifugio Lagazuoi,"Monte Lagazuoi, 2752, 32043 Cortina d'Ampezzo Italia",,2019-07-05
445,Rifugio Lagazuoi,"Monte Lagazuoi, 2752, 32043 Cortina d'Ampezzo Italia",,2019-07-05
446,Rifugio Lagazuoi,"Monte Lagazuoi, 2752, 32043 Cortina d'Ampezzo Italia",,2019-07-05
447,Rifugio Lagazuoi,"Monte Lagazuoi, 2752, 32043 Cortina d'Ampezzo Italia",,2019-07-05
448,Agriturismo & Scuderia della Valle,"Via Prabutè, 2, 24038 Valsecca, Sant'Omobono Terme Italia",,2019-07-05
449,Agriturismo & Scuderia della Valle,"Via Prabutè, 2, 24038 Valsecca, Sant'Omobono Terme Italia",,2019-07-05
450,Agriturismo & Scuderia della Valle,"Via Prabutè, 2, 24038 Valsecca, Sant'Omobono Terme Italia",,2019-07-05
451,Agriturismo & Scuderia della Valle,"Via Prabutè, 2, 24038 Valsecca, Sant'Omobono Terme Italia",,2019-07-05
452,Agriturismo La Ferme du Grand Paradis,"Fraz. Valnontey 32, 11012 Cogne Italia",,2019-07-05
453,Agriturismo La Ferme du Grand Paradis,"Fraz. Valnontey 32, 11012 Cogne Italia",,2019-07-05
454,Agriturismo La Ferme du Grand Paradis,"Fraz. Valnontey 32, 11012 Cogne Italia",,2019-07-05
455,Agriturismo La Ferme du Grand Paradis,"Fraz. Valnontey 32, 11012 Cogne Italia",,2019-07-05
456,Crowne Plaza Milan Linate,"Via Konrad Adenauer 3, 20097 San Donato Milanese Italia",,2019-07-05
457,Crowne Plaza Milan Linate,"Via Konrad Adenauer 3, 20097 San Donato Milanese Italia",,2019-07-05
458,Crowne Plaza Milan Linate,"Via Konrad Adenauer 3, 20097 San Donato Milanese Italia",,2019-07-05
459,Crowne Plaza Milan Linate,"Via Konrad Adenauer 3, 20097 San Donato Milanese Italia",,2019-07-05
460,UNAHOTELS San Vitale Bologna,"Via Larga 4 Nei pressi della stazione ferroviaria “via Larga” e della tangenziale di Bologna uscita 11, 40138 Bologna Italia",,2019-07-05
461,UNAHOTELS San Vitale Bologna,"Via Larga 4 Nei pressi della stazione ferroviaria “via Larga” e della tangenziale di Bologna uscita 11, 40138 Bologna Italia",,2019-07-05
462,UNAHOTELS San Vitale Bologna,"Via Larga 4 Nei pressi della stazione ferroviaria “via Larga” e della tangenziale di Bologna uscita 11, 40138 Bologna Italia",,2019-07-05
463,UNAHOTELS San Vitale Bologna,"Via Larga 4 Nei pressi della stazione ferroviaria “via Larga” e della tangenziale di Bologna uscita 11, 40138 Bologna Italia",,2019-07-05
464,Starhotels Business Palace,"Via Pietro Gaggia 3, 20139 Milano Italia",,2019-07-05
465,Starhotels Business Palace,"Via Pietro Gaggia 3, 20139 Milano Italia",,2019-07-05
466,Starhotels Business Palace,"Via Pietro Gaggia 3, 20139 Milano Italia",,2019-07-05
467,Starhotels Business Palace,"Via Pietro Gaggia 3, 20139 Milano Italia",,2019-07-05
468,Cosmopolitan Business Hotel,"Via Alcide De Gasperi, 2, 62012, Civitanova Marche Italia",,2019-07-05
469,Cosmopolitan Business Hotel,"Via Alcide De Gasperi, 2, 62012, Civitanova Marche Italia",,2019-07-05
470,Cosmopolitan Business Hotel,"Via Alcide De Gasperi, 2, 62012, Civitanova Marche Italia",,2019-07-05
471,Cosmopolitan Business Hotel,"Via Alcide De Gasperi, 2, 62012, Civitanova Marche Italia",,2019-07-05
472,8piuhotel,"Viale Del Risorgimento, 73100, Lecce Italia",,2019-07-05
473,8piuhotel,"Viale Del Risorgimento, 73100, Lecce Italia",,2019-07-05
474,8piuhotel,"Viale Del Risorgimento, 73100, Lecce Italia",,2019-07-05
475,8piuhotel,"Viale Del Risorgimento, 73100, Lecce Italia",,2019-07-05
476,UNAHOTELS Bologna Fiera,"Piazza della Costituzione 1, 40128 Bologna Italia",,2019-07-05
477,UNAHOTELS Bologna Fiera,"Piazza della Costituzione 1, 40128 Bologna Italia",,2019-07-05
478,UNAHOTELS Bologna Fiera,"Piazza della Costituzione 1, 40128 Bologna Italia",,2019-07-05
479,UNAHOTELS Bologna Fiera,"Piazza della Costituzione 1, 40128 Bologna Italia",,2019-07-05
480,Parioli Bed & Business,"Via Antonio Pollaiolo 2, 00197 Roma Italia",,2019-07-05
481,Parioli Bed & Business,"Via Antonio Pollaiolo 2, 00197 Roma Italia",,2019-07-05
482,Parioli Bed & Business,"Via Antonio Pollaiolo 2, 00197 Roma Italia",,2019-07-05
483,Parioli Bed & Business,"Via Antonio Pollaiolo 2, 00197 Roma Italia",,2019-07-05
484,AC Hotel Bologna by Marriott,"Via Sebastiano Serlio, 28, 40128 Bologna Italia",,2019-07-05
485,AC Hotel Bologna by Marriott,"Via Sebastiano Serlio, 28, 40128 Bologna Italia",,2019-07-05
486,AC Hotel Bologna by Marriott,"Via Sebastiano Serlio, 28, 40128 Bologna Italia",,2019-07-05
487,AC Hotel Bologna by Marriott,"Via Sebastiano Serlio, 28, 40128 Bologna Italia",,2019-07-05
488,Savhotel,"Via Ferruccio Parri 9, 40128 Bologna Italia",,2019-07-05
489,Savhotel,"Via Ferruccio Parri 9, 40128 Bologna Italia",,2019-07-05
490,Savhotel,"Via Ferruccio Parri 9, 40128 Bologna Italia",,2019-07-05
491,Savhotel,"Via Ferruccio Parri 9, 40128 Bologna Italia",,2019-07-05
492,"Grand Hotel Villa Torretta Milan Sesto, Curio Collection by Hilton","Via Milanese 3, 20099 Sesto San Giovanni Italia",,2019-07-05
493,"Grand Hotel Villa Torretta Milan Sesto, Curio Collection by Hilton","Via Milanese 3, 20099 Sesto San Giovanni Italia",,2019-07-05
494,"Grand Hotel Villa Torretta Milan Sesto, Curio Collection by Hilton","Via Milanese 3, 20099 Sesto San Giovanni Italia",,2019-07-05
495,"Grand Hotel Villa Torretta Milan Sesto, Curio Collection by Hilton","Via Milanese 3, 20099 Sesto San Giovanni Italia",,2019-07-05
496,B&B La Casa Nel Parco,"Via Giancarlo Clerici 342, 20099 Sesto San Giovanni Italia",,2019-07-05
497,B&B La Casa Nel Parco,"Via Giancarlo Clerici 342, 20099 Sesto San Giovanni Italia",,2019-07-05
