,utente,commento,hotel,dataIns,url
141,,"Hotel da classificare come il classico internazionale dotato di molte camere. La struttura Si trova in una zona panoramica, vicino alla parte industriale di Olbia, a pochi minuti dal centro.  Comodo se si è in auto per girare le calette vicino Pittolungo e golfo Aranci, a mezz’ora di auto si può andare a San Teodoro e Porto Cervo. Parcheggio un po’ piccolino. Diciamo che La Piscina panoramica è il suo punto di forza.  La Camera con terrazzo è ampia e arredata di tutto il necessario, peccato che su un criterio di hotel 4 stelle sia la camera che il bagno siano un po’ datati, doccia con vasca scomoda e abbiamo rinunciato a farci il bagno perché l’acqua era gialla. Terrazza con bella vista su Olbia, ma con poca intimità in quanto il muretto confinante con la camera adiacente praticamente è inesistente.  Il Personale è stato gentile. La Colazione internazionale abbastanza ricca, anche se a mio giudizio troppo molto fai da te e con prodotti confezionati, la cosa positiva è che si può fare con un ottima vista panoramica. Peccato che alcuna clientela non fosse molto educata, rovinando il momento relax della colazione.  Soggiorno tutto sommato positivo, ma non all’altezza di altri 4 stelle della Sardegna, sia come struttura che come qualità prezzo. …",,,
142,,"Sono andata a leggere le recensioni negative per capire cosa le persone avessero potuto trovare di sbagliato in questo albergo, e infatti sono totalmente fuorvianti. Raramente ho visto un posto tanto bello, camere comodissime (finalmente un letto con materasso matrimoniale!!!) con vista indimenticabile, kit cortesia con addirittura la crema doposole, bagno strapulito e acqua che arriva calda in un secondo. La cena ottima in un’atmosfera raffinata, che allo stesso tempo non fa mai sentire l’ospite a disagio, personale di una cortesia e discrezione rara. Per la cena sono attrezzati anche per i più piccoli con fogli da disegnare, matite colorate e piatti e bicchieri per bambini, hanno avuto un’attenzione per il mio bimbo mai vista prima. Colazione spettacolare, con prodotti tipici, vista mare e piscina. L’unica cosa negativa che ho trovato di questo posto è stata dover ripartire!…",,,
143,,"Una serata in relax....Aperitivo di noi OLBIESI alternativo e panorama fantastico....personale professionale e cocktail fatti benissimo..Panorama è solo da vederlo di persona,rilassante!!!Provare x credere...",,,
144,,"Ho soggiornato per alcuni giorni con mia figlia nel 2017.  Un hotel molto ben posizionato, dotato di tutti i confort. Personale gentilissimo e sempre attento ai bisogni del cliente.  Ristorante dell'hotel eccellente. Ci tornerò sicruramente  per un soggiorno più lungo.",,,
145,,"Hotel in una posizione privilegiata, vista molto bella sul porto di Olbia. Da qui facilmente raggiungibili in macchina tutte le località più belle della zona, dalla Costa  Smeralda al litorale di San Teodoro.Camere spaziose, ben arredate ma cosa maggiormente importante pulizia impeccabile ( voto 10 ).Colazione buona e molto abbondante, ristorante da tenere in considerazione. Personale di sala educatissimo e super professionale, lo stesso vale per il personale alla reception; ringraziamo in particolare Katia e Gabriella per averci sempre aiutato e consigliato al meglio! Anche per loro voto 10!Un soggiorno meraviglioso!",,,
146,,"Sicuramente l'hotel si trova in una posizione privilegiata e gode di una vista mozzafiato.La piscina è il punto forte di questa struttura (basta guardare le foto, non servono altre parole!) Il giardino, così come tutti gli spazi sia esterni sia interni è curato nei minimi dettagli.Abbiamo avuto l'opportunità di soggiornare in una suite davvero favolosa! Due piani, due bagni e due grandi terrazzi con vista sul porto e accesso diretto alla piscina. Il tutto accuratamente pulito e ordinato.Ci siamo sentiti davvero a casa! Il personale dell'hotel è davvero molto gentile e disponibile ad ogni richiesta.La colazione è davvero infinita: ogni tipo di dolce,  biscotti, marmellate, succhi di frutta, yoghurt, affettati, uova, bacon e tante altre cose..Abbiamo anche pranzato nel ristorante dell'hotel e abbiamo mangiato davvero molto bene!Hotel consigliatissimo!",,,
147,,"Tutte le camere dell'hotel sono fantastiche ma non dovete perdervi la suite, vale ogni singolo euro speso. Ha l'accesso diretto in piscina, veranda con 3 lettini, soppalco con seconda zona notte e bagno separato. Ha la doppia vista: su Olbia e il tramonto e su tavolara el'alba. Regalatevi questo sogno. Colazione da 10 e lode, personale al top. Flavia",,,
148,,"Semplicemente perfetto! Personale gentilissimo, camere pulitissime, colazione abbondante e buffet sempre rifornito, piscina ampia con vista panoramica, parcheggio disponibile in loco e rapporto qualità prezzo perfetto! Grazie per il bel soggiorno!",,,
149,,"Ci,sono stata per lavoro, purtroppo una notte e via...ma la mattina presto .... uno spettacolo... la colazione sulla veranda: bellissima! Un appunto ma per una coerenza con la categoria dell'Hotel: la colazione dovrebbe essere più accurata, con una presentazione migliore ... il latte NON era FRESCO ma alunga conservazione: un peccato! Gli affettati, i,formaggi disposti male, e non davano 'valore'all'Hotel!,",,,
150,,"Abbiamo alloggiato la prima settimana di agosto. Confermo tutte le recensioni positive. Il rapporto qualità prezzo tutto sommato va bene. Eravamo con la formula pernotto e colazione, ed abbiamo inoltre usufruito del ristorante a pranzo un paio di volte. Ci siamo trovati molto bene, il personale sempre gentile e disponibile pulizia adeguata. Un pò vetusta la moquette nei corridoi. Posizione strategica,  zona piscina con panorama mozzafiato. Consigliato.",,,
151,,"Buona posizione per chi vuole raggiungere tutte le più belle e famose spiagge della Gallura. Camere spaziose, ottima pulizia e personale gentile e sempre disponibile; colazione varia e ricca (buoni i dolci)  per soddisfare tutte le necessità e i gusti. Da migliorare il ristorante per raggiungere il livello del resto della struttura. Bel panorama godibile dalla terrazza e dalla piscina. Buon rapporto prezzo-qualità! Consigliato.",,,
152,,Tornerei e consiglierei questo albergo. Il personale è gentile e disponibile. Camera pulita abbastanza grande e chiara. Nel nostro caso con vista sul porto di Olbia. Il prezzo per il mese di Giugno ok,,,
153,,"Posizione eccezionale, camere pulite e abbastanza spaziose, personale molto gentile e disponibile, piscina fantastica. Cibo ottimo. Vista sul porto di Olbia in lontananza molto suggestiva, soprattutto la sera. Ottimo punto di partenza per visitare  la  Costa Smeralda. Torneremo certamente.",,,
154,,"Che dire l’hotel è situato in unvuna posizione stupenda!La camera è silenziosa,il letto comodo,i camerieri gentilissimi,il personale della camera e alla reception anche!La PISCINAAAAA💙😍sconfina il blu cn lo smeraldo del maree..tto intorno il prato verde,il cielo azzurro,i fiori,il profumo del mirto ovunque!Al ristorante abbiamo cenato1volta la sera della cena tipica sarda,servizio impeccabile,qualità eccellente.Colazione ottima si fa davanti alla piscina..insomma un paradiso,per la spiaggia c’è la comodissima navetta..tornerei subito!!",,,
155,,"L´hotel si trova sulla strada che porta al golfo aranci, una piccola collina che sovrasta il porto di Olbia. Circondato da un bel parco e con una piscina spettacolare a vista sul mare. Camere grandi, pulite e confortevoli. Hotel molto tranquillo. Colazione ricca, sia salata che dolce. Personale molto gentile e disponibile. Ottimo servizio navetta, gratuito, da e per l´aeroporto.L´unico neo sono i prezzi del ristorante e bar che trovo veramente eccessivi. Per muoversi fuori dall´hotel la macchina e´ d´obbligo. Con prezzi piu´ bassi sarebbe un hotel al TOP. Comunque consigliato per un breve soggiorno.",,,
156,,"Ho soggiornato in questo hotel per nove giorni. Tutto funziona benissimo. Efficienza nel check-in, buon servizio, meravigliosa colazione con dolci fatti in casa e abbondante scelta di salato, bevande. Ma il pezzo forte che, oserei dire, vale metà soggiorno è la piscina! Da sogno! Infinita, in posizione panoramica....",,,
157,,"Bellissimo hotel per chi vuole rilassarsi immerso nel verde e a pochi minuti di navetta (gratuita) dalla spiaggia di Pittulongu. Personale disponibile e cordiale! Stanze pulite, cibo ottimo, vista fantastica, piscina top.Consigliatissimo!",,,
158,,"Ho soggiornato in questo hotel 2 notti  con mio marito per festeggiare il nostro primo anniversario di nozze. Siamo arrivati prima dell'orario previsto del check-in e con grande sorpresa la nostra camera era già pronta! La piscina é senz'altro il punto di forza dell'hotel.. non ci sono parole per descrivere l'immensità del paesaggio che si ammira dalla piscina..tutto molto suggestivo! La colazione é ricca e di qualità, impossibile non essere soddisfatti.. c'è veramente di tutto! Abbiamo pranzato con salmone fresco alla griglia e  con patate al forno e insalata e calamari freschi. Tutto buonissimo, abbondante ed economico (13 euro a piatto). Il personale è simpaticissimo,educato, professionale e pronto a soddisfare ogni richiesta del cliente. Questo hotel merita le molto più di 5 stelle se fosse possibile! Complimenti vivissimi.. ci ritorneremo sicuramente!",,,
159,,Ambiente bello e molto pulito.Servizio veloce ma alcuni camerieri molto accigliati..... in questo lavoro è importantissima la presenza di personale garbato e sorridente e qui questo non è stato tale.Il pranzo abbastanza soddisfacente......non ho trovato nulla però di eccezionale!!!,,,
