commento;labelpers;tipo_lista;
Sicuramente l'hotel si trova in una posizione privilegiata e gode di una vista mozzafiato.La piscina «˘ il punto forte di questa struttura (basta guardare le foto, non servono altre parole!) Il giardino, cos«™ come tutti gli spazi sia esterni sia interni «˘ curato nei minimi dettagli.Abbiamo avuto l'opportunit«ˇ di soggiornare in una suite davvero favolosa! Due piani, due bagni e due grandi terrazzi con vista sul porto e accesso diretto alla piscina. Il tutto accuratamente pulito e ordinato.Ci siamo sentiti davvero a casa! Il personale dell'hotel «˘ davvero molto gentile e disponibile ad ogni richiesta.La colazione «˘ davvero infinita: ogni tipo di dolce,  biscotti, marmellate, succhi di frutta, yoghurt, affettati, uova, bacon e tante altre cose..Abbiamo anche pranzato nel ristorante dell'hotel e abbiamo mangiato davvero molto bene!Hotel consigliatissimo!;rs;TRAINING;
Tutte le camere dell'hotel sono fantastiche ma non dovete perdervi la suite, vale ogni singolo euro speso. Ha l'accesso diretto in piscina, veranda con 3 lettini, soppalco con seconda zona notte e bagno separato. Ha la doppia vista: su Olbia e il tramonto e su tavolara el'alba. Regalatevi questo sogno. Colazione da 10 e lode, personale al top. Flavia;lt;TEST;
Semplicemente perfetto! Personale gentilissimo, camere pulitissime, colazione abbondante e buffet sempre rifornito, piscina ampia con vista panoramica, parcheggio disponibile in loco e rapporto qualit«ˇ prezzo perfetto! Grazie per il bel soggiorno!;vs;TEST;
Ci,sono stata per lavoro, purtroppo una notte e via...ma la mattina presto .... uno spettacolo... la colazione sulla veranda: bellissima! Un appunto ma per una coerenza con la categoria dell'Hotel: la colazione dovrebbe essere pi«˚ accurata, con una presentazione migliore ... il latte NON era FRESCO ma alunga conservazione: un peccato! Gli affettati, i,formaggi disposti male, e non davano 'valore'all'Hotel!,;lt;TEST;
Abbiamo alloggiato la prima settimana di agosto. Confermo tutte le recensioni positive. Il rapporto qualit«ˇ prezzo tutto sommato va bene. Eravamo con la formula pernotto e colazione, ed abbiamo inoltre usufruito del ristorante a pranzo un paio di volte. Ci siamo trovati molto bene, il personale sempre gentile e disponibile pulizia adeguata. Un p«˝ vetusta la moquette nei corridoi. Posizione strategica,  zona piscina con panorama mozzafiato. Consigliato.;vs;TRAINING;
Tornerei e consiglierei questo albergo. Il personale «˘ gentile e disponibile. Camera pulita abbastanza grande e chiara. Nel nostro caso con vista sul porto di Olbia. Il prezzo per il mese di Giugno ok;vs;TEST;
Posizione eccezionale, camere pulite e abbastanza spaziose, personale molto gentile e disponibile, piscina fantastica. Cibo ottimo. Vista sul porto di Olbia in lontananza molto suggestiva, soprattutto la sera. Ottimo punto di partenza per visitare  la  Costa Smeralda. Torneremo certamente.;rs;TRAINING;
Che dire lÉ??hotel «˘ situato in unvuna posizione stupenda!La camera «˘ silenziosa,il letto comodo,i camerieri gentilissimi,il personale della camera e alla reception anche!La PISCINAAAAA–???–??çsconfina il blu cn lo smeraldo del maree..tto intorno il prato verde,il cielo azzurro,i fiori,il profumo del mirto ovunque!Al ristorante abbiamo cenato1volta la sera della cena tipica sarda,servizio impeccabile,qualit«ˇ eccellente.Colazione ottima si fa davanti alla piscina..insomma un paradiso,per la spiaggia cÉ??«˘ la comodissima navetta..tornerei subito!!;lt;TEST;
L∂Ôhotel si trova sulla strada che porta al golfo aranci, una piccola collina che sovrasta il porto di Olbia. Circondato da un bel parco e con una piscina spettacolare a vista sul mare. Camere grandi, pulite e confortevoli. Hotel molto tranquillo. Colazione ricca, sia salata che dolce. Personale molto gentile e disponibile. Ottimo servizio navetta, gratuito, da e per l∂Ôaeroporto.L∂Ôunico neo sono i prezzi del ristorante e bar che trovo veramente eccessivi. Per muoversi fuori dall∂Ôhotel la macchina e∂Ô d∂Ôobbligo. Con prezzi piu∂Ô bassi sarebbe un hotel al TOP. Comunque consigliato per un breve soggiorno.;vs;TEST;
Ho soggiornato in questo hotel per nove giorni. Tutto funziona benissimo. Efficienza nel check-in, buon servizio, meravigliosa colazione con dolci fatti in casa e abbondante scelta di salato, bevande. Ma il pezzo forte che, oserei dire, vale met«ˇ soggiorno «˘ la piscina! Da sogno! Infinita, in posizione panoramica....;vs;TRAINING;
Bellissimo hotel per chi vuole rilassarsi immerso nel verde e a pochi minuti di navetta (gratuita) dalla spiaggia di Pittulongu. Personale disponibile e cordiale! Stanze pulite, cibo ottimo, vista fantastica, piscina top.Consigliatissimo!;vs;TEST;
Ho soggiornato in questo hotel 2 notti  con mio marito per festeggiare il nostro primo anniversario di nozze. Siamo arrivati prima dell'orario previsto del check-in e con grande sorpresa la nostra camera era gi«ˇ pronta! La piscina «∏ senz'altro il punto di forza dell'hotel.. non ci sono parole per descrivere l'immensit«ˇ del paesaggio che si ammira dalla piscina..tutto molto suggestivo! La colazione «∏ ricca e di qualit«ˇ, impossibile non essere soddisfatti.. c'«˘ veramente di tutto! Abbiamo pranzato con salmone fresco alla griglia e  con patate al forno e insalata e calamari freschi. Tutto buonissimo, abbondante ed economico (13 euro a piatto). Il personale «˘ simpaticissimo,educato, professionale e pronto a soddisfare ogni richiesta del cliente. Questo hotel merita le molto pi«˚ di 5 stelle se fosse possibile! Complimenti vivissimi.. ci ritorneremo sicuramente!;vs;TEST;
Ambiente bello e molto pulito.Servizio veloce ma alcuni camerieri molto accigliati..... in questo lavoro «˘ importantissima la presenza di personale garbato e sorridente e qui questo non «˘ stato tale.Il pranzo abbastanza soddisfacente......non ho trovato nulla per«˝ di eccezionale!!!;st;TEST;
