"utente"|"commento"|"hotel"|"datains"|"tipo_lista"|"labelpers"
"Giovanni P"|"Bel campeggio alle porte di Firenze. Logisticamente perfetto in quanto si arriva in centro percorrendo direttamente un vialone fino in centro, utilizzando la loro navetta ( 3 euro andata e ritorno ) o la linea 14 con fermata a 300 ma dalla struttura. Abbiamo soggiornato in un bungalow per tre persone molto pulito e comdodo in quanto si può parcheggiare davanti all’ingresso della canotta.Due pecche secondo me importanti in camera, fornitura prodotti di necessità scarsissima ( 1 rotolo di carta igienica  e un sapone  in tre per tre giorni ) e la mancanza del bidet in camera.Possibilità di mangiare presso la fabbrica di PedAvena all’interno della struttura.Nel complesso tutto molto pulito e tenuto bene.Prezzo da parte mia molto buono .Sicuramente da tenere in considerazione."|"Camping Village Firenze"|"05/07/2019"|"TRAINING"|"sp"
"Giovanni S"|"Stanza minuscola con bagno delle stesse dimensioni.Mobilio vetusto molto rovinato.Frigo completamente vuoto..lampadina della stanza fulminata.L'accessorio per stirare i pantaloni fuori uso.Discretamente pulito..le finestre sono chiuse sigillate.Colazione a buffet..personale di sala non particolarmente disponibile.Spero di non tornare più da queste parti"|"Crowne Plaza Milan Linate"|"05/07/2019"|"TRAINING"|"ce"
"Giovanni S"|"Struttura molto ben organizzata, personale cortese e situazione perfetta per famiglie con bambini ed appassionati di sport. La piscina e la disponibilità di campi da gioco rendono la vacanza indimenticabile.La vicinanza con Venezia rappresenta un plus ineguagliabile"|"Europa Camping Village"|"05/07/2019"|"TRAINING"|"so"
"giuliano m"|"Hotel non modernissimo ma pulito elegante e facile da raggiungere sia in auto che in metro.  Stanza spaziosa e silenziosa  letto comodo.  Colazione con ampia scelta e servizio puntuale in location elegante"|"Starhotels Business Palace"|"05/07/2019"|"TRAINING"|"ce"
"Giuseppe B"|"Buon hotel, situato vicino alla stazione e poco lontano dal centro, posteggio auto esterno limitato a poche autovetture e posteggio coperto a pagamento. Cordialità e disponibilità del personale non mancano, piccola palestra con vista panoramica sulla città, la camera nella media, pulita e con un grande televisore, ho gradito la bottiglia di acqua come forma di cortesia al posto della solita caramella o cioccolatino posato sul cuscino, la colazione di qualità ma da migliorare l'assortimento degli alimenti, la  caffetteria ottima e servita dal bar e non dalla immancabile macchina fai da te tutto fare."|"AC Hotel Bologna by Marriott"|"05/07/2019"|"TRAINING"|"ce"
"GlobeTrotting534439"|"È il secondo anno consecutivo che veniamo, in camper, io mio marito e due cani, e come l'anno scorso ci siamo trovati benissimo, cortesia, pulizia e ospitalità la fanno da padroni. Ottima posizione, consigliatissimo."|"Camping Olympia"|"05/07/2019"|"TRAINING"|"so"
"Guido P"|"Ero da solo e ho trovato una calorosa accoglienza dal personale e a cena la piacevole atmosfera si è diffusa tra i commensali: ho fatto conoscenza coi compagni olandesi di tavolo e ci siamo incontrati piu' volte nei gironi successivi sulle piste"|"Rifugio Lagazuoi"|"05/07/2019"|"TRAINING"|"so"
"Guido T"|"E' un ottimo hotel. Si trova alla periferia di Lecce ma in pochi minuti si raggiunge il centro.Camere confortevoli e pulite. Letto comodo e ben insonorizzato. Colazione ricca e personale davvero molto gentile"|"8piuhotel"|"05/07/2019"|"TRAINING"|"ce"
"IlRecensoreTop"|"Tre notti da favola, hotel pulito, riservato e veramente al centro. Abbiamo preso la suite con ingresso indipendente, trovando petali di rosa e spumante in ghiaccio sul letto. Colazione buonissima. Vista sul canale, direttamente di fronte a dove soggiorno’ Mozart. Un ringraziamento ai ragazzi della reception."|"Hotel Mercurio Venezia"|"05/07/2019"|"TRAINING"|"lx"
"Imperia Mor"|"Abbiamo trascorso il weekend di Pasqua qui e avevamo bisogno di un Hotel comodo non in centro e vicino all’autostrada. Appena arrivati siamo stati accolti con freddezza e poche parole, nessun cenno agli orari della colazione ne tanto meno un sorriso o un augurio di buon soggiorno. Per un quattro stelle non di certo il migliore dei biglietti da visita. Nessun altro cenno alle altre facilities dell’albergo. Camera spaziosa e senza dubbio pulita, ma gli appunti da fare sono tanti, il miscelatore montato al contrario e l’acqua ghiacciata nella doccia, un profumo chimico e dolcissimo in tutto l’albergo, aria bollente nei corridoi e aria gelata in camera anche quando provavamo ad accendere l’aria calda. Letto comodo, tutti i prodotti per il bagno e non solo disponibili in stanza. Sicuramente migliore per un soggiorno professionale che per uno di coppia. Colazione ricca, cappuccino latte e caffè disponibili au richiesta e con servizio al tavolo, ampia scelta ma qualche sorriso in più non avrebbe guastato, come qualche ammonimento in meno sulla pinza corretta da usare per la torta. Da migliorare."|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"TRAINING"|"so"
"Jessica Bianchi"|"Il mio ragazzo mi ha portato a cena in questo ristorante per il nostro anniversario, veramente indimenticabile. La location unica e di grande classe, uno spettacolo cenare in una grotta solo io e lui, molto romantico. Il cibo si vede subito che è di alta qualità e cucinato con molta creatività. Il servizio impeccabile e molto professionale. In questo ristorante il lusso non manca mai. I camerieri sono molto preparati e gentili, passavano spesso a vedere se avevamo bisogno di qualcosa. Veramente un'esperienza bellissima e indimenticabile. Il ristorante si trova in centro di Città Alta, ottima posizione per una passeggiata romantica dopo cena."|"Hotel Relais San Lorenzo"|"05/07/2019"|"TRAINING"|"lx"
"Jkkerouac"|"Ottima struttura per chi lavora, posti comuni disponibili per incontri di lavoro.Camere ampie e ben arredate.Personale attento e disponibile.Colazione di livello.Ottimo rapporto qualità/prezzo.Wifi molto buono."|"Cosmopolitan Business Hotel"|"05/07/2019"|"TRAINING"|"ce"
"jol2008"|"Bellissimo hotel  di lusso in una dimora storica. Grandi stanze con soffitto con travi a vista sala ristorante con pareti affrescate.  Gentilezza e professionalità del personale unite alla bellezza della struttura rendono questo hotel un’oasi nel grigiore di Sesto San Giovanni."|"Grand Hotel Villa Torretta Milan Sesto, Curio Collection by Hilton"|"05/07/2019"|"TRAINING"|"lx"
"Kalos1"|"L’hotel, nonostante sia lontano da centro, non è scomodo, essendoci la fermata della metro a 150 mt. L’hotel è un po’ vecchiotto e nella moquette l’età si sente tutta. Risulta problematico chi è allergico alla polvere soggiornare. Personale professionale, ma al limite della simpatia. La colazione al limite per un 4 stelle. Buono il rapporto qualità prezzo. …"|"Starhotels Business Palace"|"05/07/2019"|"TRAINING"|"sp"
"Katia C"|"Ottimo hotel prenotato dal mio compagno, comodo , si trova all’uscita della tangenziale, parcheggio gratuito, camera spaziosa, pulita, bagno con bellissima e comoda doccia , materasso ottimo e colazione fantastica sia dolce che salata!!Personale gentilissimo"|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"TRAINING"|"ce"
"ketty r"|"Buon campeggio,nulla di particolare,piazzole ampie e ben tenute. Animazione discreta non invadente. Ottima presenza di servizi interni ,supermercato,edicola,bazar,medico,gastronomia,pizzeria e ristorante.Zona piscina ben tenuta e ben sorvegliata.Scarsa a mio avviso la pulizia dei bagni e docce ,forse dovuta alla grande affluenza essendo la settimana di ferragosto che a mio avviso andava un pò potenziata."|"Europa Camping Village"|"05/07/2019"|"TRAINING"|"so"
"klivio"|"Vengo spesso in questo albergo nei miei fine settimana a Milano ed è sempre un piacere ritornarci. Vicinissimo alla fermata della metro che collega sia la stazione che il Duomo. Camera e bagno sempre molto puliti, apprezzo molto i canali sky sulla tv.Molto buona la colazione. Check in/out veloce, personale sempre gentile e professionale"|"Starhotels Business Palace"|"05/07/2019"|"TRAINING"|"ce"
"LadyZ"|"L'hôtel é straordinario, la pulizia è molto curata, il personale gentile disponibile e accogliente. La colazione superlativa. Le camere sono molto belle e spaziose. Se dovessi trovare una pecca l'hotel è leggermente decentrato rispetto al centro. Esperienza da rifare."|"8piuhotel"|"05/07/2019"|"TRAINING"|"ce"
"Luca O"|"Struttura praticamente nuova, dotata di quasi ogni comfort. Molto comodo per raggiungere in bicicletta il centro lungo l' Arno(in ciclabile) in soli 5km. Unica nota negativa l'assenza della raccolta differenziata"|"Camping Village Firenze"|"05/07/2019"|"TRAINING"|"ce"
"luca o"|"Hotel vicinissimo alla fiera ed a pochi minuti dalla stazione.Camera arredata con cura e pulita. Colazione a livello del resto.Unici difetti se possiamo considerarli tali la tv con solo i canali del digitale terrestre e nel bagno forse per una svista solo una saponetta per tutto.Sicuramente ci tornerò"|"UNAHOTELS Bologna Fiera"|"05/07/2019"|"TRAINING"|"ce"
"luca v"|"sono stato in camper per 2 notti, quindi un esperienza forse limitata ma: accoglienza e disponibilità notevoli (siamo arrivati di notte, ci hanno riservato uno spazio esterno e permesso l'utilizzo di tutti i servizi alle 00.45), piazzole in pineta ben ombreggiate e pulite, servizi (docce - spaziose e funzionali, wc) notevolissimi (tanti, pulitissimi, con phon, carta igienica, sapone per le mani). Personale molto cordiale.Assolutamente consigliato"|"Camping Sabbiadoro"|"05/07/2019"|"TRAINING"|"so"
"Luciano P."|"Il soggiorno perfetto per chi è alla ricerca di un hotel di lusso, tre stelle sulla carta ma è come se fossero 4 per pulizia, cordialità e competenza del personale e servizi offerti. Rapporto qualità prezzo eccellente se si pensa anche alla vasta varietà di scelta per la colazione offerta e il posto auto messo a disposizione dalla struttura. Davvero un ottimo soggiorno, lo consiglio a tutti. Struttura eccellente. Da tenere in considerazione. Voto 10"|"Hotel Galant"|"05/07/2019"|"TRAINING"|"sp"
"Luigi O."|"La zona chiaramente non è il massimo ma se devi andare a Bologna per lavoro è molto comoda perché non distante dal centro anche a piedi. L’albergo si stacca decisamente dal contesto urbano e vive di luce propria. Proprio una bella luce. Il format è quello classico della catena AC by Mariott: ospitalità, pulizia il tutto accompagnato da un design lineare, elegante e funzionale. A conferma che per gli AC il cliente è sempre al centro delle loro attenzioni."|"AC Hotel Bologna by Marriott"|"05/07/2019"|"TRAINING"|"ce"
"Luisa R"|"Sono stata,  a cavallo della fine dell'anno, in questo bellissimo hotel con un gruppo: ci siamo trovati tutti benissimo. Stanze moderne, eleganti e molto tecnologiche: cromoterapia, internet accessibile dalla grande TV, menu cuscini (!), ottima pulizia, letti comodissimi. La colazione molto varia e curata, sia dolce sia salata, davvero per tutti i gusti, scelta ampia di formaggi locali, uova e bacon, brioche, crostate ecc. . Abbiamo cenato una sola sera e i piatti sono risultati molto buoni e ben presentati. Molto gradevole anche l'arredamento, moderno e lineare, ma colorato e confortevole. Il personale è stato sempre molto professionale, cortese, gentile, sempre sorridente e disponibile. Nonostante la zona non sia particolarmente bella e leggermente periferica, non appena si entra in hotel la sensazione è così piacevole, l'accoglienza così perfetta che si desidererebbe fermarsi il più possibile, non è facile trovare alberghi così."|"8piuhotel"|"05/07/2019"|"TRAINING"|"lx"
"maisenza13"|"Sono stato con la famiglia( mia moglie e due bimbi) nelle settimane centrali di ferragosto per il 5 anno consecutivo.Staff del campeggio impeccabile. Piazzola spaziosa pulita e all'ombra. Grande rispetto degli orari del silenzio. Beach service sempre sorridente e disponibile. Spiaggia pulita e spaziosa.Fiore all'occhiello l'animazione, mai invadenti e con un fitto programma per tutte le età. Corsi di tennis e calcio con istruttori preparati e non improvvisati per gli under 14, programma di Fitness che copre tutta la giornata molto vario: si apre con il risveglio muscolare, e si trovano attività di vario genere come zumba, spinning, step ad arrivare perfino allo yoga. Menzione particolare per Aurelio preparatissimo nelle sue attività, tant'è che per l'acqua gym bisognava ritrovarsi 5 minuti prima in piscina per assicurarsi il posto.Spettacoli serali esterni validissimi con grandi professionisti provenienti da tutta Italia. Programma serale interno vario e divertente grazie alle capacità del capo animazione Luca e alle coreografie di Aurelio, disegnato ad hoc per la tipologia di clientela proveniente da tutta Europa. Menzione particolare per la giornata di ferragosto coordinata magistralmente Luca con giochi divertentissimi con abbondante aperitivo offerto dalla direzione e dal supermercato della struttura e chiusura con uno spettacolo danzante organizzato dall'animazione. Personalmente ho trovato lo staff molto professionale, non la vecchia animazione all'italiana ma molto preparati sulle attività proposte, considerati anche i limiti di spazio per alcune attività.Mini club attivo, ho trovato particolarmente interessante l'attività di masterchef per bambini.A proposito di masterchef, mi collego al ristorante Le Bricole: qualità prezzo ottima, menu vario e personale di sala molto gentile menzione particolare per Raffaele, posizione super ed appena rinnovato.Che dire il campeggio come servizi è sempre stato a mio parere un 5 stelle, una garanzia su tutto. quest'anno sono stato piacevolmente sorpreso dall'animazione. Rinnovo i miei complimenti alla direzione, all'anno prossimo!!"|"Europa Camping Village"|"05/07/2019"|"TRAINING"|"so"
"Manuel F"|"Località e struttura conosciuta, al top, in senso figurato e non solo ^_^   Metterei solo delle indicazioni sulla posizione, e  uso delle valvole termostatiche nelle camere, ahahah ! Per evitare che qualche turista lasci tutto full open :) e ci si trovi un caldo da spiaggia"|"Rifugio Lagazuoi"|"05/07/2019"|"TRAINING"|"ce"
"Manuela Motta"|"Siamo stati in questo campeggio dal 22 al 24 agosto. Abbiamo prenotato su Booking.com “ordina per prezzo” ed è stato il primo. Avendo l’unica esigenza di fare 2gg di mare, non ci possiamo x nulla lamentare anzi! Personale giovane ma disponibile e gentile. La ns mini casetta era pulita e fresca, la piscina bella soprattutto x gli idromassaggio ma molto affollata..ma del resto il campeggio è molto grande. La spiaggia è a pagamento e dista circa 5min a piedi, ma il tragitto è tutto all’ombra ??. Le bici sono a pagamento..e a ns avviso un po’ carette. Abbiamo optato x il camminare. Il centro è a circa 20min a piedi. Comunque x tirare le somme ci torneremo."|"Camping Sabbiadoro"|"05/07/2019"|"TRAINING"|"sp"
"marcella805"|"Camping ben organizzato sia per le casette mobili che per i campeggiatori. Animazione quasi inesistente... Sicuramente per bambini che si sanno gestire da soli.... Serata piscina molto carina Il campeggio è pulito e tutto il personale cortese"|"Camping Sabbiadoro"|"05/07/2019"|"TRAINING"|"so"
"Marcello N"|"Appena lasciata la macchina agli addetti al garage, nella piccola conca-ingresso dell'Hotel Santa Caterina ad Amalfi, cogli il senso delle parole di Baudelaire qui tutto è lusso calme e voluttà. Il lusso del bello, senza eccessi e fronzoli un lusso che accompagna, sottolinea la bellezza preponderante del luogo incastonanto nelle rocce e tra il verde curatissimo dei giardini, dei terrazzamenti, giù sino al tappeto che è spiaggia, riposo e soprattutto mare. Discrezione, silenzi umani, attenzioni e non invasioni. Colazione e pranzo-cena su affacciate al centro della costiera amalfitana, qui pioù Divina che mai. Gustare e non mangiare (abbuffarsi) mangiare con gli occhi e poi con l'olfatto e poi con il palato. Una cura non maniacale ai dettagli, ma anche un gran senso di libertà, di aria, di voluttà direi affettuosa, calda, accolgiente in ogni angolo naturale e in quella stanza che fa da cornice alle riocce nude e alla vetrata come su un'astronave. Lusso calma e voluttà e lasciar fuori la presa delle ansie quotidiane, lasciaris andare lasciarsi coccolare."|"Santa Caterina Hotel"|"05/07/2019"|"TRAINING"|"lx"
"Marco D"|"Ho appena passato un fine settimana di soli 2 giorni in questo hotel. Parto subito col dire che sono stato fortunato a trovarlo tra i tanti hotel disponibili a Venezia, poichè l'ho molto apprezzato sia per eleganza che per modernità, ma anche per la zona davvero vicina alla stazione dei treni. Appena arrivati accolti subito a braccia aperte, dopo pranzo ci hanno consegnato la stanza davvero bella e spaziosa per una coppia, con tv schermo piatto. Il bagno credo sia quel tocco in più, grazie alla cromoterapia che rende tutti più lussuoso. Anche la colazione ci ha colpiti per la varietà di cibo (dal dolce al salato, alla frutta). Credo che sia ai limiti del 3 stelle, poichè anche 4 sarebbero meritate, se non fosse magari per le limitate dimensioni dell'edificio. Per quanto riguarda pulizia, educazione e comfort darei il voto massimo come recensione, ma mi permetto di lamentarmi, e limitarmi a 4 su 5, poichè nella stanza non vi era un letto matrimoniale, bensì due singoli, ed inoltre anche i piumoni erano due singoli, e dava un pó fastidio il fatto che i materassi si allargassero creando un buco. Ma tutto sommato davvero felice del soggiorno, e spero vivamente di poterci tornare."|"Hotel Filù"|"05/07/2019"|"TRAINING"|"lx"
"Marco M"|"Esperienza positiva alla scuderia soprattutto per tutto ciò che è attorno all'agriturismo! Non solo cavalli ma tantissimi animali (lama alpaca, maiali, mucche, dromedari, ecc ecc) tenuti bene per chi vuole semplicemente farsi un giro tra i monti o per i bimbi che vogliono usufruire della fattoria didattica. Il cibo è abbondante e la qualità nella media. Bella esperienza!"|"Agriturismo & Scuderia della Valle"|"05/07/2019"|"TRAINING"|"so"
"marghepog"|"Eleganza, stile, purezza, armonia, gusto: questi gli ingredienti di un agriturismo sapientemente concepito, rigorosamente sostenibile, nel più squisito rispetto della natura e delle antiche tradizioni. paola e suo marito accolgono gli ospiti con calore e discrezione, attenti ma mai invadenti Le camere sono deliziosi nidi alpini. Il ristorante merita la sosta per i prodotti della fattoria, la ricerca di antiche ricette reinterpretate in chiave contemporanea e l'equilibrio che ogni piatto dimostra di avere. La location è straordinaria, sopra Cogne, all'inizio della valle incantata del Gran Paradiso, circondata solo da pisce da fondo e morbide passeggiate dove gli animali (camosci in primis!) regano incontrastati."|"Agriturismo La Ferme du Grand Paradis"|"05/07/2019"|"TRAINING"|"ce"
"Marida10"|"Io e mio marito, insieme a nostra figlia di 2 anni, abbiamo soggiornato per una notte in questo hotel, precisamente in una delle suite palazziate con soppalco. Sicuramente la location, nel suo insieme, è molto suggestiva, la vista è bellissima, la suite è calda e spaziosa.Le note stonate di questo bel quadretto appena delineato, sono però due: la prima, a mio parere piuttosto grave, è la mancanza della televisione nella nostra suite, e soprattutto le prese in giro successive per giustificarne la sua assenza. Premetto che non siamo tv-dipendenti, ma mia figlia, la sera, prima di addormentarsi, è abituata a vederla e non capisco perché avrei dovuto privarmi di questa nostra consuetudine!Le prese in giro successive poi sono state la ciliegina sulla torta: alla prima telefonata in reception,mi è stato risposto che la tv era presente e si trovava sulla sinistra, è venuto anche uno dei ragazzi del personale a controllare di persona. Alla seconda telefonata mi viene detto che la tv era in assistenza per un guasto. Alla terza telefonata mi arrabbio non poco e mi liquidano dicendo che non era prevista la tv in quella suite perché l’architetto non l’aveva predisposta negli arredi???????Ho ripetuto più volte che per noi era un problema, e a mio modesto parere sarebbero dovuti correre a comprarne una pur di accontentare la richiesta lecita di un cliente che sta soggiornando in un hotel a 5 stelle, invece di fare la figura dei BARBONI. La seconda nota stonata è stata la doccia. Non era presente una semplice mensola per poggiare il bagnoschiuma. L’architetto ha ritenuto che una donna dovesse continuamente piegarsi per prendere il bagnoschiuma poggiato a terra?! Per non parlare dell’effetto “tavola da surf” che si provava all’interno della doccia, per via di quella tavola poggiata grossolanamente al suo interno che non faceva altro che muoversi. Provatela e poi capirete di cosa parlo??Il ristorante è superbo, al suo interno regna la professionalità, il savoir faire, la qualità delle pietanze servite e si respira davvero “aria di lusso” come piace alla sottoscritta.La cena è stata davvero perfetta dall’inizio alla fine, una serata a dir poco magica. La colazione a buffet eccelsa, allestita in maniera molto elegante, con dolci buonissimi, succhi di frutta, e tanto altro.Spero che le mie critiche assolutamente costruttive, aiutino a prendere decisioni differenti in futuro, e a non commettere più errori così spiccioli e di bassa lega che non fanno altro che minare la credibilità di un hotel che vanta 5 stelle."|"Sant'Angelo Luxury Resort"|"05/07/2019"|"TRAINING"|"lx"
"MariDryAsai"|"Io e mio marito abbiamo soggiornato in questo campeggio per 3 giorni in una casetta mobile modello H... anche se nel sito viene descritta come 2+1, noi personalmente l’abbiamo trovata stretta anche per 2 persone sole... avevamo con noi i nostri 2 cani e ci muovevamo a malapena... purtroppo devo concordare anche con le recensioni precedenti a questa che parlano della poca attenzione per la pulizia... risolvibile comunque, perché mi è bastato passare un attimo la scopa per risolvere il problema.Per quanto riguarda il campeggio in generale cmq io l’ho trovato molto ordinato e non ci sono stati problemi con gli orari del silenzio... tutto è stato perfetto.Personale molto gentile e sempre disponibile, nonostante la giovane età, i bagni e le docce comuni non li abbiamo usati perché appunto avevamo il nostro bagno nella casetta, quindi non posso esprimere 1 opinione...Ottima vicinanza con la spiaggia, 5 minuti e ci si arriva a piedi senza impazzire a cercar parcheggio... altra cosa che veramente mi è piaciuta tanto è stata il fatto che il giorno della partenza, anche dopo aver liberato la casetta entro le 10 come da regolamento, ci è stato concesso di lasciare la macchina dentro al campeggio x poterci godere un’ultima mezza giornata di spiaggia... ce l’hanno fatta lasciare vicino ai bagni, sotto agli alberi, così l’abbiamo anche ritrovata bella fresca nonostante il sole.L’unica cosa che mi sento di dire è che mi aspettavo che il campeggio avesse fatto una disinfestazione contro gli insetti (in molti campeggi la fanno) perché era praticamente impossibile mangiare fuori sul tavolino o lasciare anche solo per qualche minuto la porta aperta senza essere letteralmente divorati dalle zanzare, già di prima mattina... spero che per i prossimi anni si attrezzino...Speriamo di poter tornare anche il prossimo anno comunque, magari in una casetta più grande e anche per più di 3 giorni!"|"Camping Sabbiadoro"|"05/07/2019"|"TRAINING"|"ce"
"Mario C"|"Bel campeggio alle porte di Firenze,vicino alla fermata dell' autobus. Per il centro (n14) ferma in centro a 50 m dal duomo . Ottimo anche il servizio navetta anche se un po caro ,market fornito bellissima la piscina"|"Camping Village Firenze"|"05/07/2019"|"TRAINING"|"sp"
"Mario C"|"Una location unica con tutte le suite che si affacciano su piazza Navona con una vista mozzafiato. Le camere curate in ogni particolare offrono il massimo del piacere e del confort. Lo staff con discrezione offre cordialità ed efficienza . Il soggiorno in questa location regala un'esperienza unica nel centro di Roma"|"Lifestyle Suites Rome"|"05/07/2019"|"TRAINING"|"lx"
"Mario V"|"Ci sono stato tante volte perché questo hotel per me è davvero insuperabile come qualità delle stanze, come buffet colazione, come gentilezza del personale. Mi aspetterei qualche prezzo più scontato ogni tanto…."|"Cosmopolitan Business Hotel"|"05/07/2019"|"TRAINING"|"ce"
"Markaccio"|"Hotel ove la cortesia regna sovrana.Camere tranquille, ampie e pulite.Unico neo la posizione. Purtroppo se si vuole raggiungere il mare, essendoci la ferrovia di mezzo, si è obbligati a fare il giro “largo” passando dallo stadio, quindi o si prende l’auto o si deve fare un bel giretto."|"Cosmopolitan Business Hotel"|"05/07/2019"|"TRAINING"|"ce"
"marty28cumpa"|"Si sa che quando si va nei campeggi ci si deve adattare a quello che si trova, ma il camping village Firenze è stata proprio una piacevole sorpresa. Bello, pulito e la piscina fantastica. Lo consiglio vivamente, anche perché è a due 10 minuti dal centro di Firenze e dal ma dal Mandela forum, quindi ottimo punto strategico anche dopo un concerto per chi viene da fuori.…"|"Camping Village Firenze"|"05/07/2019"|"TRAINING"|"ce"
"Mary"|"Io e il mio ragazzo siamo andati a pranzo il lunedì di Pasqua presso il ristorante del Rifugio Sapienza, avendo prenotato giorni prima.Partendo dal personale che è stato molto cordiale e disponibile, ci siamo accomodati al nostro tavolo riservato.Abbiamo ordinato un antipasto del Rifugio Sapienza, che era di una bontà senza confini, e due primi. Le porzioni erano alquanto abbondanti tanto da non riuscire a finire l’intera porzione ?? ma il gusto era unico.Per finire, ci sono stati offerti dei mini cannoli ??Da ritornarci assolutamente!"|"Rifugio Sapienza"|"05/07/2019"|"TRAINING"|"ce"
"Matteo T"|"Piscina perfetta per bambini piccoli, con giochi d'acqua, cascate, e ingresso simil spiaggia.spesa 28€ due adulti ed un bambino sotto i 3anni, ombrellone e sdraio gratis fino ad esaurimento.La piscina per i grandi è abbastanza piccola.Presente anche un area relax con prato ed alberi, bar e ristorante. Per la mia esperienza una delle piscine più comode/carine a firenze.…"|"Camping Village Firenze"|"05/07/2019"|"TRAINING"|"sp"
"maurobt"|"Posizione davvero strategica ad un passo dalla tangenziale, un buon hotel con camere ampie e pulite. Ampio anche il bagno ed è per questo che non si capisce la scelta di mettere un bidet mini....per me una pallina in meno solo per questo in hotel il comfort è la prima cosa e quando oltretutto hai spazio non si capisce la scelta. Colazione buona da hotel business quindi non troverete la torta di nonna papera ma tutto quello che erve per iniziare bene la giornata. Personale molto gentile, facilità di parcheggio. Lo consiglio ....anche se avete le gambe un po' lunghe -)))"|"UNAHOTELS San Vitale Bologna"|"05/07/2019"|"TRAINING"|"ce"
"Max G"|"Hotel in situazione strategica per business, con parcheggio ampio e gratuito. Camere spaziose e pulite, forse avrei gradito una migliore illuminazione sia in bagno che in camera.Letto ampio e comodo.Colazione davvero Super!"|"Cosmopolitan Business Hotel"|"05/07/2019"|"TRAINING"|"ce"
"Michela P"|"Non posso che confermare la recensione dell'anno scorso, ottimo campeggio, tenuto benissimo....noi avevamo casa mobile tipo L, pulita, comoda e funzionale. Piscina pulita e tenuta bene.... abbiamo fatto un giro anche nei bagni pubblici e abbiamo notato pulizia ovunque, piazzole ben tenute e personale gentilissimo."|"Camping Sabbiadoro"|"05/07/2019"|"TRAINING"|"ce"
"milena r"|"La pineta in cui è collocata la spiaggia è sicuramente incantevole, ma certo non è sufficiente per il costo di una struttura, il caravan, che anche se nuovo, è scomodo è attrezzato in modo indecente( parlo di stoviglie di plastica e accessori per la cucina) Per il resto posso sottolineare come la spiaggerà è carina ma piccola, nel mese di agosto la gente è tanta ed anche il ristorante non è assolutamente capace di soddisfare le richieste."|"Camping Torre Castiglione"|"05/07/2019"|"TRAINING"|"sp"
"mlu981"|"Sono stata all'hotel Marina per 6 giorni, eravamo due adulti e una bimba di meno di un anno. Siamo state benissimo! L'hotel è una bella struttura direttamente sul mare con una splendida terrazza con piscina. La posizione è ideale, a due passi dalla via dello shopping di Jesolo. La camera era molto spaziosa con un bellissimo bagno (con la doccia anche con cromoterapia). I servizi inclusi sono molto vantaggiosi: parcheggio, posto sulla spiaggia, uso delle biciclette. Il ristorante è spettacolare: cibo buonissimo (in particolare ottimo il pesce), molto vario, colazione di alto livello, servizio eccezionale (complimenti per la gentilezza e la simpatia al giovane cameriere Luca). Grande cordialità anche da parte dei titolari. Gentilissimo il signor Matteo dell'accoglienza! Davvero tutti hanno riservato attenzioni e sorrisi alla bimba della mia amica! Consiglio la struttura a tutti, in particolare a famiglie con bambini."|"Hotel Marina"|"05/07/2019"|"TRAINING"|"lx"
"Monica G"|"Hotel stupendo,il personale è gentilissimo sempre sorridente e cortese..la posizione è perfetta sulla spiaggia..e che dire della stanza..noi abbiamo soggiornato in una Suite terrace, è perfetta, spaziosa pulita,letti comodi,insonorizzata molto bene,bagno con una bella doccia cromoterapica per 2..e che dire della terrazza vista mare con mini piscina idromassaggio privata,il Top!!...immersi nell'acqua riscaldata,  in completo relax, puoi ammirare il mare che pare davvero di  poterlo toccare...colazione buona sia dolce che salata..da consigliare e sicuramente da ritornarci...arrivederci You and Me!!…"|"You & Me Beach Hotel"|"05/07/2019"|"TRAINING"|"lx"
"monicam m"|"Sono stata con la famiglia in un bungalow roy con cane. Bungalow pulito,  bagni comuni pulitissimi,  giardini molto curati,  strade pulitissime, in pratica molto curato! Vacanza stupenda! Il campeggio accontenta sia le famiglie che vogliono il cane vicino,   sia le famiglie che non vogliono cani vicino.Organizzazione e pulizia ottime!"|"Europa Camping Village"|"05/07/2019"|"TRAINING"|"ce"
"Nicoepaoolo"|"Struttura nuova che affaccia direttamente sulla spiaggia. Abbiamo soggiornato per Pasqua e l'accoglienza è stata ottima. La suite con mini piscina idromassaggio strepitosa! 36 gradi di temperatura, vista mare, che la rendono perfetta anche nelle giornate fresche,e cmq quando non si può fare il bagno in mare. Stanza enorme con bagno con bei sanitari e doccia sensoriale doppia. Letto comodissimo e ampio.Personale gentilissimo e attento.Menzione particolare per la colazione, sicuramente al di sopra degli standard romagnoli. Prodotti freschi, cucinati al momento. Ottime le uova e il bacon, la spremuta di arance fresche, e torte e dolci strepitosi. Potendo suggerire, mi piacerebbe trovare bici per poter andare in centro a Rimini,senza la macchina.Bravi e continuate così, ci rivedremo presto!"|"You & Me Beach Hotel"|"05/07/2019"|"TRAINING"|"lx"
"Nicol Zorzini"|"Ho soggiornato in un bungalow per due persone nella stagione di maggio 2018. Pulizia ottima e prezzo adeguato. Bagno con doccia grande, letto matrimoniale, cucinino con frigo e tutti gli utensili (bicchieri, posate, padelle,...). Piscine pulite e adeguate anche per bambini di tutte le età."|"Camping Sabbiadoro"|"05/07/2019"|"TRAINING"|"sp"
