"utente"|"commento"|"hotel"|"datains"|"tipo_lista"|"labelpers"|"predictedCategory"
"Andrea P"|"Ho soggiornato presso questo Hotel nel ponte di pasqua 2019, ho trovato un'ottima accoglienza, una pulizia dell'albergo eccellentissima, e la spa riservata qualcosa da invidiare al miglior 5 stelle che c'è in giro. Faccio i miei complimenti allo staff molto cortese e disponibile. Comoda la posizione dal'autostrada ma soprattutto la vicinanza al parco della majella. Lo consiglio alle coppie che vogliono rilassarsi in un posto pacifico e lontano dal caos"|"Halanus Hotel & Resort"|"05/07/2019"|"SCORE"|""|"sp"
"Danieleaquila"|"Personale giovane, cortese, puntuale e disponibile. Struttura bellissima e pulitissima. È stato un piacere soggiornare da voi, se torneremo in zona sicuramente torneremo in struttura.Ineccepibile, consiglio vivamente."|"Halanus Hotel & Resort"|"05/07/2019"|"SCORE"|""|"ce"
"Marco C"|"Abbiamo passato un weekend bellissimo tutto molto bello e pulito, la spa privata e perfetta, personale gentile cortese e disponibile grazie di tutto la colazione abbondante e molto buona, torneremo di sicuro"|"Halanus Hotel & Resort"|"05/07/2019"|"SCORE"|""|"ce"
"Debora"|"Abbiamo passato due giorni e una notte nella suite acqua ed è stata davvero perfetta. Tutto molto pulito, disponibilità al massimo e professionalità garantita. La camera offre servizi di ogni tipo, da tisane a frigo bar analcolico gratuito. La Spa è curata nei minimi dettagli, un’ora in piena tranquillità e riservata solo a noi.  Torneremo sicuramente per provare tutte le altre suite. Colazione molto abbondante e con disponibilità sia dolce che salata. Pulizia evidente anche negli spazi più piccoli. Voto 10 su 10??"|"Halanus Hotel & Resort"|"05/07/2019"|"SCORE"|""|"ce"
"Alessia G"|"Posto bellissimo. Ho scelto la suite aria ed è a dir poco stupenda ed accogliente. Personale gentilissimo e disponibile. Anche la spa molto carina, abbiamo avuto problemi la sera per l’acqua della piscina fredda ma ci hanno permesso di recuperare l’ora di spa privata la mattina con colazione in spa. Cena abbastanza deludente ma compensa tutto il resto. Davvero due giorni in totale relax soprattutto da passare in coppia. Lo consiglio tantissimo."|"Halanus Hotel & Resort"|"05/07/2019"|"SCORE"|""|"lx"
"Giuseppe D"|"Soggiorno unico per rilassarsi in tranquillità servizio preciso e perfetto letto comodissimo... Sauna in camera e idromassaggio comodissimi voto 5 impeccabile biscotti della casa nella colazione freschi e buoni e la Spa privata super rilassante consigliatissimo per le coppie che cercano un po' di tranquillità"|"Halanus Hotel & Resort"|"05/07/2019"|"SCORE"|""|"lx"
"Alessandra D"|"Abbiamo soggiornato per la prima volta qui per una notte, prenotando il pacchetto notte più spa esclusiva. Abbiamo scoperto un hotel nuovo, pulito, curato nei minimi dettagli da uno staff giovane, attento e cordiale, la spa rilassante e la camera anch'essa nuova e pulita. Colazione ricca e varia con dolci fatti in casa molto buoni, la cena, fatta nel ristorante convenzionato vicino, buona e decisamente abbondante. Insomma, ci torneremo di certo!"|"Halanus Hotel & Resort"|"05/07/2019"|"SCORE"|""|"lx"
"Angela Di pasquo"|"Weekend rilassante con spa Privé tutta per noi che vale davvero la pena! Personale gentilissimo e disponibile, colazione molto buona e camere pulite e moderne. Consigliato a tutti soprattutto chi vuole staccare la spina per due giorni è l’ideale."|"Halanus Hotel & Resort"|"05/07/2019"|"SCORE"|""|"ce"
"Stefano B"|"Quando ci si muove da casa, nulla è lasciato al caso... e non fa eccezione l'Antico Borgo. Siamo nel centro storico teatino per un week-end in totale relax, ma con la consapevolezza di veder soddisfatti i nostri standard di confort. La struttura è di livello, con belle camere, pulite e ben disposte. E mai ci è capitato di trovarci a consumare la colazione in un'antica cisterna romana. La location, oggetto di un riuscito restyling, si trova ad una manciata di chilometri dalla costa adriatica e poco di più dal fresco riparo della Maiella madre.…"|"Antico Borgo Chieti"|"05/07/2019"|"SCORE"|""|"ce"
"serenity95"|"Spinti dalle buone recensioni lette su Tripadvisor abbiamo prenotato 2 notti in questo B&B. Esternamente si è presentato molto bene...una piccola bomboniera incastonata nel centro storico di Chieti....  la stanza piccola, ma  poteva andare... Quello che però abbiamo trovato assolutamente inaccettabile è stato il materasso.... Vecchio e con le molle che si sentivano anche solo toccandolo...per non parlare poi di quando abbiamo cercato di dormirci....appena ti muovevi o giravi si sentivano scattare quelle benedette molle... e dopo un pò è comparso un fastidio alla schiena che non ci lasciava dormire. Per onestà dico  che ogni tanto ho problemi di schiena, ma viaggio  spessissimo ed una cosa del genere non mi era mai successa! Del resto anche mio marito che di problemi non ne ha, non riusciva a prendere sonno...   Possibile che in un B&B dove si paga non certo una miseria ( € 80 a notte ) non si capisca che al di là della location o dell'arredamento , la cosa più importante è la qualità del sonno? E poi, la tenda del bagno...lavatela ogni tanto!  Le  macchiette di sangue dovute forse a qualche zanzara passata a miglior vita così sparirebbero!!…"|"Antico Borgo Chieti"|"05/07/2019"|"SCORE"|""|"sp"
"Alessio B"|"Centralissimo in ZTL ma la struttura consente l’ingresso e successivamente stampa un Pass (con il libretto dell’auto) per evitare le multe. Ottima l’accoglienza alla reception. Camera spaziosa, pulita e molto bella. Zona colazione molto suggestiva con impostazione internazionale. Rapporto qualità prezzo ottimo! …"|"Antico Borgo Chieti"|"05/07/2019"|"SCORE"|""|"ce"
"archadec"|"Situato nel pieno centro storico della città di Chieti, questo B&B, vi restituirà la perecezione di essere entrati in un luogo magico. Sapientemente restaurato offre ambineti dall'architettura caratteristica e oltremodo affascinante per serate in dolce compagnia o per il relax del dopo lavoro. Tutto è pulitissimo e gradevole. Il servizio è eccellente, sapienza  e garbo sono di casa. Consigliatissimo!…"|"Antico Borgo Chieti"|"05/07/2019"|"SCORE"|""|"ce"
"Luisa D"|"È un piccolo hotel con trattamento di B&B, situato nel centro storico di Chieti in zona a traffico limitato. Se si arriva in auto non è un problema, perché fornendo la targa alla reception si può sia arrivare presso la struttura per lo scarico bagagli sia parcheggiare gratuitamente a poca distanza.  La reception è presidiata fino alle ore 23 in seguito, avendo la chiave del portone, si può accedere alla struttura quando si vuole e per qualsiasi necessità si ha a disposizione un numero di telefono. Lo staff è cordiale e fornisce tutte le prime indicazioni su Chieti e dintorni (penso alla professionalità della sig.ra Giovanna alla reception ma anche alla squisita gentilezza della ragazza che ci ha servito la colazione).  La struttura è stata completamente ristrutturata senza risparmiare. Noi avevamo una stanza al primo piano che si affacciava verso la piazzetta dell’hotel e siamo stati molto bene. La pulizia della stanza e del bagno... perfetta. Per una notte abbiamo speso € 67,50. La colazione viene servita al piano terra in una stupenda cisterna romana, restaurata e consolidata. È a buffet e l’abbiamo pagata a parte, al momento della prenotazione, alla modica cifra di... 1,50 euro a testa! È una colazione abbondante e di ottima qualità, con tanti prodotti da forno freschi e buonissimi e anche una selezione di salumi e formaggi. Più di così non si può!…"|"Antico Borgo Chieti"|"05/07/2019"|"SCORE"|""|"ce"
"seppoferrari"|"Abbiamo soggiornato in questa struttura per sei notti, che cosa dire quando si è  stati bene?Il tutto si può riassumere in breve:ottima la posizione ( più centrale di così non si può )ottima la colazionecordiale e disponibile il personale tuttole stanze spaziose, pulite, ben arredate e con  ampi bagni. Giuseppe e Patrizia"|"Antico Borgo Chieti"|"05/07/2019"|"SCORE"|""|"ce"
"sabinomangano"|"Abbiamo soggiornato per una notte all’Antico Borgo Chieti. La posizione della struttura è ottima, ideale per chi avesse voglia di fare due passi nel centro storico. Le camere sono carine e la chicca della finestra ad oblò è inusuale ma ben apprezzata. La sig.ra che ci ha accolto appena arrivati è stata molto educata e premurosa. Forse la colazione (in una grotta meravigliosa) potrebbe essere migliorata.Per il resto lo consigliamo!"|"Antico Borgo Chieti"|"05/07/2019"|"SCORE"|""|"sp"
"loris r"|"Abbiamo soggiornato in coppia una notte in questo BB tramite booking. La posizione è molto bella in quanto nel cuore del centro storico della città e quindi ideale per muoversi a piedi. La struttura è sicuramente di recente ristrutturazione, le camere sono confortevoli. Piccola chicca la sala dove si fa la colazione che è un vero e proprio sito archeologico sapientemente conservato molto suggestivo. Nella media un buon bb ma viaggiando molto quì abbiamo trovato una colazione un po mediocre. Il personale, soprattutto la Signora che ci ha accolti è molto cortese e disponibile."|"Antico Borgo Chieti"|"05/07/2019"|"SCORE"|""|"ce"
"feremau73"|"Il posto è in ottima posizione. Camere bellissime e pulitissime ristrutturate non da tantissimo. Lo staff è davvero cortese, ci hanno aiutati in molte occasioni. Secondo me la colazione è davvero il top, un esperienza tutta da provare."|"Antico Borgo Chieti"|"05/07/2019"|"SCORE"|""|"ce"
"Daniele M"|"Ottima struttura al centro di Chieti.. Camere grandi con dettagli ricercati, pulizia degli ambienti, gentilezza e disponibilità dello staff, colazione spettacolare con torte fresche e artigianali c'è  l'imbarazzo della scelta. Consigliatissimo ci torneremo sicuramente.."|"Antico Borgo Chieti"|"05/07/2019"|"SCORE"|""|"lx"
"MorenaB"|"siamo stati in questo albergo lo scorso finesettimana e dal punto di vista del prezzo e della cortesia dello staff non ho alcun appunto da fare.La nostra camera era grande e confortevole, peccato però che nel bagno non c'è un posto per appendere gli asciugamani da doccia e quando abbiamo provato ad usare un poggiamano accanto alla doccia ci è rimasto in mano.Passiamo alla colazione, ognuno ha i propri gusti, ma noi l'abbiamo trovata davvero insufficente, i cornetti non erano freschi, c'erano 3 torte sì, ma non basta per creare un buffet, alcuni prodotti erano confezionati e questo non si addice secondo me a una colazione di un BB di questo livello, l'offerta del salato davvero basica e sia il caffe che il latte erano imbevibili.Sicuramente non torneremo e non mi sento di consigliarlo, peccato perchè abbiamo trovato un letto confortevole e pur dando la stanza sulla strada, nessun disturbo esterno, però a dire la verità la canalizzazione dell'aria condizionata in funzione per tutta la notte (anche se in camera nostra), si sentiva eccome!"|"Antico Borgo Chieti"|"05/07/2019"|"SCORE"|""|"ce"
"Massimo B"|"La struttura è un gioiellino (complimenti ai gestori e a chi ha curato la ristrutturazione). Posizione centrale (a 5/10 minuti a piedi da tutto: parco, palazzi, musei, chiese, corso principale, negozi, ristoranti...) tranquilla e perfetta (possibilità di parcheggio vicinissimo, in zona ad accesso limitato, di cui non abbiamo nemmeno avuto bisogno). Colazione nella suggestiva antica cisterna romana ottima e abbondante (molto varia la parte dolce). Camera e bagno ampi e confortevoli. Personale molto gentile e disponibile."|"Antico Borgo Chieti"|"05/07/2019"|"SCORE"|""|"ce"
"Marta D"|"Una struttura nuovissima, curata in ogni dettaglio. Pulizia , molta gentilezza da parte del  personale, colazione ricchissima con specialità fatte in casa. Prezzo super conveniente. Da consigliare assolutamente!"|"Antico Borgo Chieti"|"05/07/2019"|"SCORE"|""|"ce"
"michele c"|"Ospiti per un matrimonio in zona, ho apprezzato in toto questa struttura. Sorge nel centro storico di Chieti, a due passi da Corso marruccino e dalla chiesa della trinità. Camere pulite ed ampie, edificio comodo e funzionale, ottima colazione nella sala in pietra. Nota di merito per lo staff per gentilezza e disponibilità! A presto!"|"Antico Borgo Chieti"|"05/07/2019"|"SCORE"|""|"ce"
"Carlo Alberto R"|"Io e mia moglie siamo stati ospiti di questo delizioso hotel in occasione di un matrimonio.La nostra camera era la 301, al terzo piano e va detto che è una stanza romantica, con travi di legno a vista e una finestra a oblò con vista sui tetti.Pulizia impeccabile e letto comodo.Unici 2 nei riscontrati sono il fatto di avere la climatizzazione centralizzata spenta (ci è stato detto perché non c'era ancora l'autorizzazione comunale per accenderla), e la mancanza di bidet nel bagno.Colazione discretamente varia.Certamente una bella struttura in pieno centro, ottima come base di partenza per visitare la città.Attenzione: in hotel possono darvi il permesso per transitare e parcheggiare in zona ztl. Fatevi dare copia cartacea da esporre in macchina altrimenti vi ritroverete con la multa perché non basta la comunicazione della targa ai vigili."|"Antico Borgo Chieti"|"05/07/2019"|"SCORE"|""|"ce"
"Albott58"|"Ottimo veramente in tutto .....Camera silenziosa e pulitissima.....Colazione abbondante e buonissimaIn pieno centro storico , comodo per la visita della cittàPiccolo parcheggio autorizzato con permesso....Da provare !!!!!"|"Antico Borgo Chieti"|"05/07/2019"|"SCORE"|""|"ce"
"tassia759"|"la stanza era ottima, con salottino ben arredato. Curato e pulito anche il bagno. Comodo il letto. Che dire di più, se non che avere la fortuna di trovare una simile sistemazione è l'aspirazione di ognuno in viaggio per l'Italia. Elegante la sistemazione per la colazione. A disposizione ci sono ottime torte, qualcosa di meno per chi preferirebbe quella continentale."|"Antico Borgo Chieti"|"05/07/2019"|"SCORE"|""|"ce"
"Maria D"|"Io ed il mio compagno, nella bellissima Chieti per il capodanno, decidiamo di prenotare in questa struttura.Ammetto di essere stata attratta dalle ottime recensioni e dalle foto della cisterna romana.Le mie aspettative non sono andate deluse. La struttura è situata in pieno centro storico, affianco al Palazzo Lepri.Traffico auto davanti allo stesso, pari a zero, anche perché è zona di varchi e quindi il traffico è molto limitato.La struttura, come già detto da alcuni, non ha assolutamente l'aspetto di un bb, anzi, ma questo per i servizi che offre. Stanze pulitissime, accoglienti, calde. Bagno pulitissimo all'inverosimile ed acqua calda da subito. La nostra stanza, all'ultimo piano, era una mansarda con soffitto in legno e parquet. Un delizioso oblò come finestra.Accoglienza professionale e calorosa.Colazione inclusa nella quota, mi spiace non averla potuta consumare( nella famosa cisterna romana), in quanto, reduci dalla notte di capodanno, non abbiamo fatto in tempo. Quando ripasseremo da Chieti, la tappa sarà d'obbligo.A presto!"|"Antico Borgo Chieti"|"05/07/2019"|"SCORE"|""|"ce"
"Silvia C"|"Che dire ottimo! Siamo stati accolti da una signora molto gentile e disponibile. La stanza molto calda, pulita e confortevole, curata nei minimi particolari. Parcheggio vicino all hotel con autorizzazione. Lo consiglio. Prezzo per una notte 74 euro."|"Antico Borgo Chieti"|"05/07/2019"|"SCORE"|""|"ce"
"Biboangolo"|"Vengo a Chieti con molto piacere e torno sempre in questo delizioso BeB .Situato nel pieno centro storico ,Ambiente pulito elegante ed assolutamente comodo ! Stanze ampie e molto pulite .Personale disponibile, colazione soddisfacente !!!Rapporto qualità prezzo ottimo !!"|"Antico Borgo Chieti"|"05/07/2019"|"SCORE"|""|"ce"
"Giusy A"|"La Sicilia, in generale, e Taormina, in particolare, sono splendide e l'hotel Capotaormina offre sicuramente il miglior punto di vista sulla baia incantevole, sul vulcano, su Taormina. I servizi impeccabili, la tranquillità anche a ridosso di Ferragosto, la cortesia di tutto il personale, le camere ampie e con una vista mare strepitosa fanno subito perdonare qualche dettaglio un po' datato.... Siamo stati benissimo, bimbo compreso (anche se non ci sono attrezzature specifiche per bambini, tipo sala giochi), tra un bagno a mare in mezzo ai pesci e un altro in piscina al tramonto....e la sera una passeggiata a Taormina con la navetta ( senza nessuno stress per il parcheggio)...le giornate sono trascorse felici e interessanti. Alla prossima!!…"|"UNAHOTELS Capotaormina"|"05/07/2019"|"SCORE"|""|"ce"
"Branzolo"|"Sono stato ospite di questa struttura per una convention e devo dire che l’hotel è tutto sommato accettabile, sicuramente non è una costruzione nuovissima, ma è stata ristrutturata è accettabile. Il personale l’ho trovato molto disponibile e gentile. Sulla location nulla da dire, anzi posizione più che strategica, vista mozzafiato,  e principalmente comoda da raggiungere inoltre comoda per spostarsi e visitare tutta la zona o il centro storico. …"|"UNAHOTELS Capotaormina"|"05/07/2019"|"SCORE"|""|"ce"
"Luigi R"|"incastonato nella roccia lavica sul mare con un panorama mozzafiato come pochi al mondo, ottimi servizi vi consiglio il ristorante sul mare, ottimo personale, splendida terrazza dove viene servita la colazione, non si sente l'esigenza di andare in giro, ma qualora si desiderasse con le navette si sale a taormina. a breve credo ristruttureranno solo per adeguarlo a uno stile più attuale.…"|"UNAHOTELS Capotaormina"|"05/07/2019"|"SCORE"|""|"ce"
"Claudio"|"La location è il miglior biglietto da visita di questo albergo: spettacolare. Direttamente sul mare con vista sull’isola bella.  L’accesso alla piccola spiaggia ed alla piscina è scavato nella roccia il livello mare si raggiunge con ascensore.  È vero che il complesso andrebbe un po’ “svecchiato” ( bagni con vasca/ doccia).  Ma la vista dalle camere superior è impagabile.  Letto grande comodissimo, così come i cuscini. Privacy perfetta anche sulle terrazze. Pulizia ineccepibile.  Colazione buona, più fornita di proposte dolci che salate. Anche la colazione si gusta su terrazza panoramica.  Personale gentilissimo.  La Direzione si è fatta apprezzare per un omaggio a mia moglie nel giorno del suo compleanno.  Navetta per Taormina molto comoda.  Consigliato  …"|"UNAHOTELS Capotaormina"|"05/07/2019"|"SCORE"|""|"ce"
"mariarosa l"|"Sono stata per un fine settimana a settembre a Taormina:ho pernottato all’ho Capo taormina e mi sono trovata benissimo,ottimo il servizio,bellissimo l’ambiente,gentilezza e professionalità.Penso sia proprio un hotel da favola!"|"UNAHOTELS Capotaormina"|"05/07/2019"|"SCORE"|""|"ce"
"Silvia D"|"L'hotel si trova in una posizione fantastica su una scogliera a picco sul mare, situata subito sotto Taormina.Al mattino si può ammirare l'alba che sorge su Isola Bella dalla bellissima ed esclusiva spiaggia privata a cui si accede internamente dall'hotel con ascensore scavato nella roccia.La sera un incantevole tramonto con vista sul golfo di Giardini Naxos e sull'Etna.Oltre alla spiaggia privata ci sono due piscine che sembrano sospese sul mare da cui ammirare il paesaggio.Fantastica anche la vista dalla terrazza di ristoranti. All'esclusiva location, si aggiunge:- la gentilezza e la disponibilità dello staff- la qualità e l'assortimento della colazione (deliziosi i mini-cannoli siciliani, le torte, la ricotta,... )- la comodità dei letti (extra-large)- l'impeccabile pulizia- il parcheggio- la navetta gratuita per Taormina.Insomma un luogo incantevole ideale per una fuga romantica o semplicemente per rigenerarsi cullati dalle onde del mare e baciati dal sole."|"UNAHOTELS Capotaormina"|"05/07/2019"|"SCORE"|""|"ce"
"Fede T"|"Hotel con una posizione spettacolare camere ancora un po' Old che avrebbero bisogno di una ristrutturazione riammodernamento Ma quando ti affacci mi vedi da un lato l etna e dall'altro l'isola bella ti senti veramente in paradiso...Cibo ottimo scorci fantastici la spiaggia comodissima schiacciando solo un pulsante dell'ascensore la piscina con acqua salata di mare... un'altra piccola piscina con l'idromassaggio il ristorante con vista mare direttamente di fianco alla piscina ..tutto veramente meraviglioso da tornarci con la famiglia Un Posto veramente romantico che merita almeno un Long weekend Taormina è comodamente raggiungibile e ci sono tante cose da vedere"|"UNAHOTELS Capotaormina"|"05/07/2019"|"SCORE"|""|"ce"
"Alegio"|"Non puoi trovarci un difetto solo cose positive Dall’accoglinza, il servizio ristorante, le camere, l’accesso alla spiaggia privata tutto eccellente Ti svegli e senti solo il rumore delle onde che si infrangono sugli scogli, vedi l’alba dal balcone, mangi con vista sul mare. Ha la piscina, un ampio parcheggio a pagamento e uno più piccolo gratuito Mette a disposizione navette gratuite x il centro... uno spettacolare accesso alla spiaggia attraverso una grotta...Prezzo alto ma ne vale la pena"|"UNAHOTELS Capotaormina"|"05/07/2019"|"SCORE"|""|"sp"
"Monica R"|"Il Capotaormina è una tappa fondamentale di ogni viaggio a Taormina, da riscoprire ogni volta con rinnovato stupore. È il luogo del cuore, dove si può tornare certi di trascorrere sempre giorni di meraviglioso relax, cullati dal rumore del mare. Un posto affascinante e indimenticabile per innumerevoli ragioni. La cortesia e professionalità insuperabili del personale ad ogni livello, per esempio, il quale esprime costantemente passione e dedizione per il proprio lavoro, lo splendore paesaggistico su cui si affaccia la struttura, cornice di ogni momento della giornata, i numerosi confort compresi nel prezzo, l’atmosfera e la cucina idilliache del ristorante sospeso sul mare “la scogliera”, la pulizia ineccepibile delle camere, bastano già a fare di questo hotel un posto sublime. Poco distante da Taormina, non risente del caos turistico della stessa, pur rimanendovi ben collegato, grazie anche ad un servizio navetta offerto gratuitamente. Ringraziamenti doverosi per le coccole e le attenzioni ricevute soprattutto da Manuela, Gianfranco, Gabriele, Davide e altri, sempre vicini e pronti a risolvere ogni difficoltà, allo scopo di rendere il soggiorno perfetto. Infine, una menzione speciale meritatissima (che faccio qui perché non dispone di una pagina propria) per il personale che gestisce il comodo garage interno, più che degno della categoria dell’hotel e soprattutto a Francesco, davvero impagabile per simpatia e disponibilità. Capotaormina, arrivederci!"|"UNAHOTELS Capotaormina"|"05/07/2019"|"SCORE"|""|"so"
"droplet90"|"Appena tornata da un long weekend al Capotaormina, devo dire che ha superato tutte le mie aspettative da ogni punto di vista.L'hotel è molto bello situato in una posizione strategica, le camere spaziose, pulitissime e dotate di ogni confort, la nostra poi era eccezionale con una vista sul golfo di Giardini Naxos da invidia, dal letto si poteva vedere il mare, direi che non c'è risveglio migliore!!!Il personale è veramente al servizio del cliente, gentili e cordiali si prodigano a che tutto sia di tuo gradimento a partire dalle donne ai piani, bagnini, camerieri etc...i servizi che offrono sono veramente di uno standard superiore alle 4 stelle, ti senti coccolato in ogni momento della giornata.Abbiamo anche cenato presso il ristorante la scogliera, che atmosfera romantica e che piatti di pesce strepitosi, ci hanno consigliato benissimo.E per finire un ringraziamento particolare va a Roberta C. che ci ha organizzato alla perfezione questo soggiorno."|"UNAHOTELS Capotaormina"|"05/07/2019"|"SCORE"|""|"ce"
"Luigi B"|"Hotel da favola, non ha prezzo poter scendere dalla camera direttamente in spiaggia, ottimi gli arredamenti così come il servizio, personale competente, professionale e disponibilissimo. Che dire un fine settimana corto ma intenso, location al top,con panorama mozzafiato, camere pulitissime. In due parole: da consigliare vivamente"|"UNAHOTELS Capotaormina"|"05/07/2019"|"SCORE"|""|"ce"
"Pierluigi M"|"Dopo aver visitato altre location della zona, abbiamo scelto questo splendido angolo di costa siciliana. Panorama incantevole: la vista si pone su tutto il golfo di Giardini Naxos e alle spalle da un lato svetta l'Etna e dall'altro spiccano le luci di Castelmola e di una parte di Taormina. Siamo molto felici della nostra scelta: ringraziamo in particolare Roberta per l'impeccabile organizzazione e le cure dedicateci il maitre Concetto per averci suggerito e fatto trovare l'eccellente menù a base di pesce e Gerry per averci fatto conoscere il posto, la sua grande professionalità."|"UNAHOTELS Capotaormina"|"05/07/2019"|"SCORE"|""|"ce"
"Cristina S"|"Una struttura davvero panoramica che ti regala da ogni punto in cui ti trovi una vista incantevole .Le camere sono semplici ,spaziose e pulite.Lo staff davvero disponibile e premuroso,specialmente  Marilena e Ivan sono stati davvero  squisiti e ci hanno fatto sentire ancora più coccolati , con passione e cura amano il loro lavoro .Consiglio vivamente questo Hotel !Cristina"|"UNAHOTELS Capotaormina"|"05/07/2019"|"SCORE"|""|"ce"
"RM70"|"Ho soggiornato con mia moglie in questa fantastica struttura. Nulla qui è dato al caso e mettono l’ospite in condizione ottimale. I servizi e le viste offerte dell’hotel non hanno eguali. Nei ristoranti si mangia ottimamente e le colazioni da favola. Camere pulite e molto accoglienti."|"UNAHOTELS Capotaormina"|"05/07/2019"|"SCORE"|""|"ce"
"vivianasganga"|"Ho festeggiato i miei 50 anni al Capotaormina ed e’ stato tutto come avevo sperato!Un grazie a Tea e Alessia delle prenotazioni che con pazienza cortesia e professionalità hanno trovato un’ottima sistemazione per tutti i miei ospiti.Un altro grazie alle due Roberta del FB, sempre rassicuranti sorridenti e partecipi, che mi hanno aiutata a organizzare una splendida cena in una cornice meravigliosa! Il tavolo imperiale sulla terrazza Alcantara non lo scorderò mai!Grazie ai cuochi per la bontà del cibo, a Carmelo e ai suoi colleghi per l’ottimo servizio. A Melinda del bar sulla spiaggia, al maitre della prima colazione e a tutto il suo staff che hanno soddisfatto con garbo e prontezza ogni nostra richiesta.La posizione dell’albergo e la vista sono incantevoli, l’atmosfera molto cordiale.Ci siamo sentiti, io e i miei ospiti, accolti in un ambiente familiare.Grazie e alla prossima!"|"UNAHOTELS Capotaormina"|"05/07/2019"|"SCORE"|""|"ce"
"Rob_Munich3"|"Siamo tornati per festeggiare il nostro anniversario, si vede dalle mie inserzioni , giro tantissimo, ma il Capotaormina resta una struttura per una vacanza indimenticabile. Personale, il posto, la cucina fanno circa 90pc del successo di una vacanza. Personale gentilissimo e premuroso, attento a qualsiasi dettaglio, ti senti insomma coccolato e non devi pensare a nulla. Solo riposare, nuotare fantastica spiaggia con vista mozzafiato con mare di scoglio blue e verde inteso, oppure nella piscina salina nel pomeriggio. Pranzo e cena sono assicurati in due ristoranti eccellenti, pesce pescato locale ogni giorno freschissimo. E poi i dolci: il cannolo sia di ricotta sia di cioccolato!! Tanti dolci presenti, ma il cannolo supera sempre tutto. Pranzo accompagnati da ottimi veni local siciliani. Camere executive ben posizionate, sembrano di toccare il vulcano Etna e di potersi tuffare nel golfo Giardini.  Poi non bisogna preoccuparsi delle calorie, perché c’è anche un centro wellness, palestra abbastanza attrezzata in cui scaricarsi H24!! Unico suggerimento che do alla catena dell’hotel di investire nella ristrutturazione delle stanze rimanenti, togliendo la moquette e nei bagni, ancorché spaziosi, necessitano una bell ammodernamento. Bravo il personale addetto a tenere tutto sempre con doppio cambio giornaliero. Comunque complimenti per la direzione è lo spirito imprenditoriale con il cliente che si se te al centro della vacanza!"|"UNAHOTELS Capotaormina"|"05/07/2019"|"SCORE"|""|"ce"
"FabrizioPescara"|"Ottimo albergo in posizione invidiabile con spiaggetta privata ed una piscina avsfioro sul mare da sogno!Terrazza panoramica che ci ha offerto l’incommensurabile vista dell’Etna in eruzione, lontano dal centro città ma con una comodissima navetta, ottima colazione e soprattutto ottimo ristorante la scogliera!Un plauso particolare a tutti il personale sempre disponibile, pronto a dare consigli e con il sorriso sulle labbra.Le camere andrebbero rimodernate, in particolare i bagni, ma d’estate in camera ci di vive molto poco anche se nei prossimi due anni è prevista una importante ristrutturazione che lo renderà sicuramente perfetto!"|"UNAHOTELS Capotaormina"|"05/07/2019"|"SCORE"|""|"ce"
"AleVanny"|"Sempre 5 stelle e ne darei anche 6 se ci fosse la possibilità. Struttura completa ed elegante. Personale sempre disponibile  anche in situazioni particolari (abbiamo avuto bisogno di parcheggiare l'auto il giorno prima di pernottare e ci hanno aiutato senza costi aggiuntivi). Navetta da e per Taormina un ottimo servizio oltretutto gratuito. Stanza confortevole e spaziosa. Bagno con vasca. Ottimo letto. Anche quest'anno stanza con vista su isola bella. Piscina e spiaggia spettacolari. Mare meraviglioso. Alla prossima vacanza."|"UNAHOTELS Capotaormina"|"05/07/2019"|"SCORE"|""|"ce"
"Lidia T"|"Ho trascorso 5 notti in questa struttura , non nego che le aspettative erano altissime e sono state in parte disattese . Le camere un po’ datate , la mia dava sul giardino e aveva una grossa pecca , le formiche , le trovavi ovunque . I corridoi  coperte di moquette , ormai , logorata dal tempo . Le note piacevoli del soggiorno :Lo staff disponibile ed efficiente , I ristoranti con cucina semplice e delicata , La vista mozzafiato , La piscina meravigliosa . Il prezzo troppo alto per ciò che la struttura offre . Non credo  tornerò ."|"UNAHOTELS Capotaormina"|"05/07/2019"|"SCORE"|""|"ce"
"Claudio M"|"Ottimo Hotel, posizionato su un promontorio con bellissima veduta , si può usufruire sia di una bellissima spiaggetta, che di una piscina con acqua di mare , personale gentile e disponibile ad ogni richiesta.Da fare la sera una cena al ristorante sul mare , un po’ caro ma ne vale la pena per la location e per l’ottima qualità, da ritornarci"|"UNAHOTELS Capotaormina"|"05/07/2019"|"SCORE"|""|"ce"
"Furiottego"|"Hotel complessivamente deludente, considerato il costo di euro 100 a notte, a persona, solo con prima colazione. La camera era una Superior vista mare. A parte la vista mare affascinante perché dalla doccia riuscivi tranquillamente a vedere la distesa blu, per il resto non tenuta particolarmente bene, arredi abbastanza umili e rovinati, bagno essenziale, niente di che sempre considerato il costo. Inoltre staccata dal complesso principale e raggiungibile solo attraverso una salita impegnativa di un centinaio di metri.  Colazione altrettanto deludente, molto nella media. Non prodotti di qualità. Personale complessivamente gentile e disponibile, in particolare Il Sig.Federico della reception.  Considerato il rapporto qualità/prezzo non mi sento certo di consigliarlo. …"|"Hotel Villa Enrica - Aeolian Charme"|"05/07/2019"|"SCORE"|""|"sp"
